,person,Year,party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat,Donation_Change
0,4,2012-01-01,D,0.0,0.0,0.0,0.727,TESTING,1,0.0
1,4,2014-01-01,D,0.0,0.3333333333333333,0.0,0.727,TESTING,1,0.0
2,4,2016-01-01,D,0.0,0.4,1000.0,0.727,TESTING,1,1000.0
3,4,2018-01-01,D,1000.0,1.0,,0.727,TESTING,1,0.0
4,10,2012-01-01,D,0.0,0.5,2000.0,0.086,TRAINING,1,2000.0
5,10,2014-01-01,D,2000.0,0.6666666666666666,2000.0,0.086,TRAINING,1,0.0
6,10,2016-01-01,D,2000.0,0.6,1000.0,0.086,TRAINING,1,-1000.0
7,10,2018-01-01,D,1000.0,1.0,,0.086,TRAINING,1,0.0
8,12,2012-01-01,D,0.0,0.25,0.0,0.539,TRAINING,1,0.0
9,12,2014-01-01,D,0.0,1.0,0.0,0.539,TRAINING,1,0.0
10,12,2016-01-01,D,0.0,0.8,0.0,0.539,TRAINING,1,0.0
11,12,2018-01-01,D,0.0,1.0,,0.539,TRAINING,1,0.0
14,14,2012-01-01,D,0.0,0.25,0.0,0.5191,TRAINING,1,0.0
15,14,2014-01-01,D,0.0,0.3333333333333333,0.0,0.5191,TRAINING,1,0.0
13,14,2016-01-01,D,0.0,0.4,3700.0,0.5191,TRAINING,1,3700.0
12,14,2018-01-01,D,3700.0,0.0,,0.5191,TRAINING,1,0.0
16,15,2012-01-01,D,0.0,0.0,0.0,0.5734,TESTING,1,0.0
17,15,2014-01-01,D,0.0,0.0,0.0,0.5734,TESTING,1,0.0
18,15,2016-01-01,D,0.0,0.2,0.0,0.5734,TESTING,1,0.0
19,15,2018-01-01,D,0.0,1.0,,0.5734,TESTING,1,0.0
21,16,2012-01-01,D,0.0,0.5,0.0,0.6265,TESTING,1,0.0
22,16,2014-01-01,D,0.0,0.3333333333333333,0.0,0.6265,TESTING,1,0.0
23,16,2016-01-01,D,0.0,0.8,0.0,0.6265,TESTING,1,0.0
20,16,2018-01-01,D,0.0,1.0,,0.6265,TESTING,1,0.0
26,17,2012-01-01,D,0.0,0.0,0.0,0.0466,TRAINING,1,0.0
27,17,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0466,TRAINING,1,0.0
25,17,2016-01-01,D,0.0,0.8,0.0,0.0466,TRAINING,1,0.0
24,17,2018-01-01,D,0.0,1.0,,0.0466,TRAINING,1,0.0
28,18,2012-01-01,D,0.0,0.0,1000.0,0.4426,TRAINING,1,1000.0
29,18,2014-01-01,D,1000.0,0.3333333333333333,0.0,0.4426,TRAINING,1,-1000.0
30,18,2016-01-01,D,0.0,0.6,0.0,0.4426,TRAINING,1,0.0
31,18,2018-01-01,D,0.0,1.0,,0.4426,TRAINING,1,0.0
32,19,2012-01-01,D,0.0,0.0,0.0,0.5578,TESTING,1,0.0
33,19,2014-01-01,D,0.0,0.3333333333333333,0.0,0.5578,TESTING,1,0.0
34,19,2016-01-01,D,0.0,0.8,80.0,0.5578,TESTING,1,80.0
35,19,2018-01-01,D,80.0,1.0,,0.5578,TESTING,1,0.0
39,21,2012-01-01,D,250.0,0.0,0.0,0.8322,TESTING,1,-250.0
38,21,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8322,TESTING,1,0.0
37,21,2016-01-01,D,0.0,0.4,0.0,0.8322,TESTING,1,0.0
36,21,2018-01-01,D,0.0,1.0,,0.8322,TESTING,1,0.0
40,22,2012-01-01,D,0.0,0.5,0.0,0.1685,TRAINING,1,0.0
41,22,2014-01-01,D,0.0,0.3333333333333333,0.0,0.1685,TRAINING,1,0.0
42,22,2016-01-01,D,0.0,0.8,0.0,0.1685,TRAINING,1,0.0
43,22,2018-01-01,D,0.0,0.0,,0.1685,TRAINING,1,0.0
44,23,2012-01-01,D,0.0,0.25,0.0,0.0769,TRAINING,1,0.0
45,23,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0769,TRAINING,1,0.0
46,23,2016-01-01,D,0.0,0.4,0.0,0.0769,TRAINING,1,0.0
47,23,2018-01-01,D,0.0,1.0,,0.0769,TRAINING,1,0.0
50,24,2012-01-01,D,0.0,0.0,0.0,0.6949,TESTING,1,0.0
51,24,2014-01-01,D,0.0,0.3333333333333333,0.0,0.6949,TESTING,1,0.0
48,24,2016-01-01,D,0.0,0.8,0.0,0.6949,TESTING,1,0.0
49,24,2018-01-01,D,0.0,1.0,,0.6949,TESTING,1,0.0
55,28,2012-01-01,D,0.0,0.0,0.0,0.2433,TRAINING,1,0.0
54,28,2014-01-01,D,0.0,0.3333333333333333,0.0,0.2433,TRAINING,1,0.0
53,28,2016-01-01,D,0.0,0.4,0.0,0.2433,TRAINING,1,0.0
52,28,2018-01-01,D,0.0,1.0,,0.2433,TRAINING,1,0.0
56,30,2012-01-01,D,0.0,0.0,0.0,0.5311,TRAINING,1,0.0
57,30,2014-01-01,D,0.0,0.6666666666666666,0.0,0.5311,TRAINING,1,0.0
58,30,2016-01-01,D,0.0,0.8,0.0,0.5311,TRAINING,1,0.0
59,30,2018-01-01,D,0.0,1.0,,0.5311,TRAINING,1,0.0
60,34,2012-01-01,D,4675.0,0.5,0.0,0.5051,TRAINING,1,-4675.0
61,34,2014-01-01,D,0.0,0.6666666666666666,0.0,0.5051,TRAINING,1,0.0
62,34,2016-01-01,D,0.0,0.6,2000.0,0.5051,TRAINING,1,2000.0
63,34,2018-01-01,D,2000.0,1.0,,0.5051,TRAINING,1,0.0
66,37,2012-01-01,D,0.0,0.25,0.0,0.642,TESTING,1,0.0
67,37,2014-01-01,D,0.0,0.3333333333333333,0.0,0.642,TESTING,1,0.0
64,37,2016-01-01,D,0.0,0.8,0.0,0.642,TESTING,1,0.0
65,37,2018-01-01,D,0.0,0.5,,0.642,TESTING,1,0.0
68,38,2012-01-01,D,0.0,0.5,0.0,0.1184,TRAINING,1,0.0
69,38,2014-01-01,D,0.0,0.3333333333333333,0.0,0.1184,TRAINING,1,0.0
70,38,2016-01-01,D,0.0,0.8,0.0,0.1184,TRAINING,1,0.0
