person,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,MODELING_GROUP,Bloomberg_Donations_Diff,Citadel_Donations_Diff,Year_2012,Year_2014,Year_2016
0,0.75,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
0,0.6666666666666666,0.8,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
0,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
1,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.3333333333333333,1,0,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
1,1.0,0.8,0.3333333333333333,0.6,0.75,1,0,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
1,0.6,0.8571428571428571,0.7777777777777778,1.0,1.0,1,0,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
2,0.6,0.8571428571428571,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
2,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
2,1.0,0.8,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
3,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
3,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
3,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
4,0.8,0.8571428571428571,0.7777777777777778,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
4,1.0,1.0,1.0,0.5714285714285714,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
4,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
5,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
5,0.3333333333333333,0.6,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
5,0.6,0.5714285714285714,0.6666666666666666,0.5,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
6,0.75,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,1,0,0
6,0.3333333333333333,0.8,0.3333333333333333,0.6,0.75,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0,1,0
6,0.8,0.42857142857142855,0.5555555555555556,0.0,0.3333333333333333,1,0,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0,0,1
7,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
7,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,1,0
7,0.8,0.7142857142857143,0.8888888888888888,1.0,1.0,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,0,0,1
8,0.4,0.0,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0,0,1
8,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0,1,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,1,0,0
8,0.3333333333333333,0.6,0.0,0.2,0.0,0,1,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0,1,0
9,0.25,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.3333333333333333,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,1,0,0
9,0.3333333333333333,0.4,0.3333333333333333,0.6,0.75,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,1,0
9,0.4,0.7142857142857143,0.8888888888888888,0.75,1.0,0,1,0,0,0,0,0,1,0,1,TESTING,0.0,0.0,0,0,1
10,0.5,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,0,1,TRAINING,0.0,0.0,1,0,0
