pageid,party_x,wikidataid,wikititle,name_x,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,first,last,ID_NameParty,party_y,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,party_x,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018,person,name_y,VoteAlong113thRatio_FS_IIR,VoteAlong114thRatio_FS_IIR,VoteAlong115thRatio_FS_IIR,VoteAlong116thRatio_FS_IIR,VoteAlong113thRatio_FS_FSS,VoteAlong114thRatio_FS_FSS,VoteAlong115thRatio_FS_FSS,VoteAlong116thRatio_FS_FSS,VoteAlong113thRatio_FS_CM,VoteAlong114thRatio_FS_CM,VoteAlong115thRatio_FS_CM,VoteAlong116thRatio_FS_CM,VoteAlong113thRatio_FS_REB,VoteAlong114thRatio_FS_REB,VoteAlong115thRatio_FS_REB,VoteAlong116thRatio_FS_REB,party_short,Pure_name,LastName,FirstName,name,party_y,VoteAlong113thRatio_Film,VoteAlong114thRatio_Film,VoteAlong115thRatio_Film,VoteAlong116thRatio_Film
25016198,R,Q4954892,Bradley_Byrne,Bradley Byrne,male,white,,1955-02-16,,"30.72767,-88.05267",,4,True,True,True,True,Bradley,Byrne,BradleyByrneR,,,,,,,,,,,412601.0,"Rep. Bradley Byrne [R, 2014-2020]",,0.8,0.8571428571428571,0.5,,0.3333333333333333,0.8888888888888888,0.3333333333333333,,0.6,1.0,1.0,,0.75,1.0,0.3333333333333333,R, Bradley Byrne ,Byrne,Bradley,"Rep. Bradley Byrne [R, 2014-2020]",Republican,0.75,0.6666666666666666,0.8,0.0
29218153,R,Q439117,Martha_Roby,Martha Roby,female,white,,1976-07-26,,"32.36167,-86.27917",,4,True,True,True,True,Martha,Roby,MarthaRobyR,,,,,,,,,,,412394.0,"Rep. Martha Roby [R, 2011-2020]",0.8333333333333334,0.8,0.8571428571428571,0.5,0.6666666666666666,0.3333333333333333,0.7777777777777778,0.3333333333333333,0.7142857142857143,0.6,1.0,1.0,0.3333333333333333,0.75,1.0,0.3333333333333333,R, Martha Roby ,Roby,Martha,"Rep. Martha Roby [R, 2011-2020]",Republican,0.75,1.0,0.6,0.0
407888,R,Q693238,Mike_Rogers_(Alabama_politician),Mike D. Rogers,male,white,protestantism baptist,1958-07-16,,"41.6111,-87.4931",,4,True,True,True,True,Mike,Rogers,MikeRogersR,,,,,,,,,,,400341.0,"Rep. Mike Rogers [R, 2003-2022]",0.8333333333333334,0.8,0.8571428571428571,0.5,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.7142857142857143,0.6,1.0,1.0,0.6666666666666666,0.75,1.0,0.3333333333333333,R, Mike Rogers ,Rogers,Mike,"Rep. Mike Rogers [R, 2003-2022]",Republican,0.5,1.0,0.6,0.5
407888,R,Q693238,Mike_Rogers_(Alabama_politician),Mike D. Rogers,male,white,protestantism baptist,1958-07-16,,"41.6111,-87.4931",,4,True,True,True,True,Mike,Rogers,MikeRogersR,,,,,,,,,,,400342.0,"Rep. Mike Rogers [R, 2001-2014]",0.8333333333333334,,,,0.6666666666666666,,,,0.7142857142857143,,,1.0,0.6666666666666666,,,,R, Mike Rogers ,Rogers,Mike,"Rep. Mike Rogers [R, 2001-2014]",Republican,0.75,,,
407889,R,Q672671,Robert_Aderholt,Robert Aderholt,male,white,protestantism methodist,1965-07-22,,"34.23013,-87.61898",,4,True,True,True,True,Robert,Aderholt,RobertAderholtR,,,,,,,,,,,400004.0,"Rep. Robert Aderholt [R, 1997-2022]",1.0,1.0,0.8571428571428571,0.5,1.0,0.6666666666666666,0.7777777777777778,0.3333333333333333,0.5714285714285714,0.8,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,R, Robert Aderholt ,Aderholt,Robert,"Rep. Robert Aderholt [R, 1997-2022]",Republican,1.0,0.6666666666666666,0.8,0.0
27586834,R,Q1941306,Mo_Brooks,Mo Brooks,male,white,,1954-04-29,,"32.77611,-79.9325",,4,True,True,True,True,Mo,Brooks,MoBrooksR,,,,,,,,,,,412395.0,"Rep. Mo Brooks [R, 2011-2022]",0.8333333333333334,0.6,0.5714285714285714,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.7142857142857143,0.6,0.5,1.0,0.6666666666666666,0.75,0.6666666666666666,0.3333333333333333,R, Mo Brooks ,Brooks,Mo,"Rep. Mo Brooks [R, 2011-2022]",Republican,0.5,0.3333333333333333,0.6,0.0
22136277,D,Q461621,Terri_Sewell,Terri Sewell,female,black,,1965-01-01,,"34.71361,-86.58611",,4,True,True,True,True,Terri,Sewell,TerriSewellD,,,,,,,,,,,412396.0,"Rep. Terri Sewell [D, 2011-2022]",0.5,0.8,0.42857142857142855,1.0,0.6666666666666666,0.3333333333333333,0.5555555555555556,1.0,0.7142857142857143,0.6,0.0,1.0,0.6666666666666666,0.75,0.3333333333333333,1.0,D, Terri Sewell ,Sewell,Terri,"Rep. Terri Sewell [D, 2011-2022]",Democrat,0.75,0.3333333333333333,0.8,1.0
407894,R,Q1239590,Don_Young,Don Young,male,white,anglicanism,1933-06-09,,"39.14056,-121.90778",,4,True,True,True,True,Don,Young,DonYoungR,,,,,,,,,,,400440.0,"Rep. Don Young [R, 1973-2022]",0.8333333333333334,,0.7142857142857143,0.5,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.7142857142857143,,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,R, Don Young ,Young,Don,"Rep. Don Young [R, 1973-2022]",Republican,0.75,0.3333333333333333,0.8,0.0
408529,D,Q946606,Raúl_Grijalva,Raúl M. Grijalva,male,hispanic,catholicism,1948-02-19,,"32.22167,-110.92639",,4,True,True,True,True,Raúl,Grijalva,RaúlGrijalvaD,,,,,,,,,,,400162.0,"Rep. Raúl Grijalva [D, 2013-2022]",0.3333333333333333,0.6,0.0,0.75,0.0,0.0,0.3333333333333333,1.0,0.5714285714285714,0.2,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,D, Raúl Grijalva ,Grijalva,Raúl,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.4,1.0
28573666,R,Q2059832,Paul_Gosar,Paul Gosar,male,white,,1958-11-27,,"41.585,-109.22139",,4,True,True,True,True,Paul,Gosar,PaulGosarR,,,,,,,,,,,412397.0,"Rep. Paul Gosar [R, 2013-2022]",0.8333333333333334,0.4,0.7142857142857143,0.0,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.3333333333333333,0.7142857142857143,0.6,0.75,1.0,0.3333333333333333,0.75,1.0,0.3333333333333333,R, Paul Gosar ,Gosar,Paul,"Rep. Paul Gosar [R, 2013-2022]",Republican,0.25,0.3333333333333333,0.4,0.0
