person,Year,party_short,donations_dollars,partyline_percent
4,2012,D,0.0,0.0
10,2012,D,0.0,0.5
12,2012,D,0.0,0.25
14,2012,D,0.0,0.25
15,2012,D,0.0,0.0
16,2012,D,0.0,0.5
17,2012,D,0.0,0.0
18,2012,D,0.0,0.0
19,2012,D,0.0,0.0
21,2012,D,250.0,0.0
22,2012,D,0.0,0.5
23,2012,D,0.0,0.25
24,2012,D,0.0,0.0
28,2012,D,0.0,0.0
30,2012,D,0.0,0.0
34,2012,D,4675.0,0.5
37,2012,D,0.0,0.25
38,2012,D,0.0,0.5
39,2012,D,0.0,0.5
40,2012,D,0.0,0.25
41,2012,D,0.0,0.25
42,2012,D,2000.0,0.25
43,2012,D,0.0,0.0
45,2012,D,0.0,0.0
46,2012,D,0.0,0.0
47,2012,D,0.0,0.5
48,2012,D,0.0,0.25
49,2012,D,0.0,0.25
52,2012,D,0.0,0.0
56,2012,D,0.0,0.5
60,2012,D,0.0,0.25
61,2012,D,0.0,0.0
62,2012,D,1000.0,0.0
63,2012,D,1000.0,0.0
64,2012,D,0.0,0.25
66,2012,D,0.0,0.25
67,2012,D,0.0,0.5
68,2012,D,0.0,0.5
71,2012,D,0.0,0.0
73,2012,D,1000.0,0.0
74,2012,D,0.0,0.5
75,2012,D,0.0,0.0
77,2012,D,0.0,0.0
78,2012,D,10500.0,0.25
79,2012,D,0.0,0.5
80,2012,D,0.0,0.25
81,2012,D,0.0,0.0
82,2012,D,0.0,0.5
84,2012,D,0.0,0.0
85,2012,D,0.0,0.5
86,2012,D,0.0,0.5
89,2012,D,0.0,0.0
90,2012,D,0.0,0.25
91,2012,D,0.0,0.0
94,2012,D,0.0,0.75
95,2012,D,2500.0,0.5
99,2012,D,0.0,0.25
101,2012,D,0.0,0.0
102,2012,D,0.0,0.75
103,2012,D,0.0,0.0
104,2012,D,0.0,0.25
106,2012,D,0.0,0.0
107,2012,D,0.0,0.25
108,2012,D,0.0,0.75
109,2012,D,0.0,0.0
110,2012,D,0.0,0.5
113,2012,D,0.0,0.5
114,2012,D,0.0,0.25
115,2012,D,0.0,0.0
119,2012,D,0.0,0.0
120,2012,D,0.0,0.25
121,2012,D,0.0,0.25
123,2012,D,0.0,0.5
124,2012,D,0.0,0.25
125,2012,D,250.0,0.0
134,2012,D,0.0,0.0
136,2012,D,0.0,0.5
137,2012,D,0.0,0.25
138,2012,D,0.0,0.25
139,2012,D,0.0,0.25
141,2012,D,2000.0,0.25
142,2012,D,2000.0,0.75
145,2012,D,0.0,0.75
146,2012,D,0.0,0.0
148,2012,D,0.0,0.25
150,2012,D,0.0,0.5
151,2012,D,0.0,0.25
152,2012,D,2000.0,0.0
154,2012,D,0.0,0.0
156,2012,D,0.0,0.25
157,2012,D,0.0,0.0
159,2012,D,1500.0,0.0
160,2012,D,0.0,0.5
161,2012,D,0.0,0.0
162,2012,D,450.0,0.5
165,2012,D,950.0,0.5
166,2012,D,2500.0,0.0
167,2012,D,1000.0,0.0
168,2012,D,0.0,0.0
169,2012,D,0.0,0.5
172,2012,D,0.0,0.25
174,2012,D,0.0,0.0
178,2012,D,0.0,0.75
179,2012,D,0.0,0.0
182,2012,D,0.0,0.5
185,2012,D,0.0,0.25
186,2012,D,250.0,0.0
187,2012,D,0.0,0.75
188,2012,D,1000.0,0.25
191,2012,D,500.0,0.0
193,2012,D,0.0,0.25
194,2012,D,0.0,0.25
195,2012,D,0.0,0.5
197,2012,D,2500.0,0.0
198,2012,D,0.0,0.25
199,2012,D,0.0,0.0
200,2012,R,0.0,1.0
203,2012,R,0.0,1.0
205,2012,R,0.0,0.5
206,2012,R,0.0,0.5
207,2012,R,0.0,0.75
211,2012,R,0.0,0.75
212,2012,R,1000.0,0.75
214,2012,R,0.0,0.75
217,2012,R,0.0,0.75
226,2012,R,0.0,0.75
227,2012,R,0.0,0.75
233,2012,R,0.0,0.25
234,2012,R,0.0,0.75
235,2012,R,0.0,0.5
240,2012,R,0.0,0.75
247,2012,R,0.0,0.75
252,2012,R,2500.0,0.5
253,2012,R,2500.0,0.75
258,2012,R,0.0,0.25
260,2012,R,3500.0,0.75
261,2012,R,0.0,0.75
265,2012,R,0.0,0.75
268,2012,R,6500.0,0.75
269,2012,R,4000.0,0.75
271,2012,R,0.0,0.75
273,2012,R,0.0,0.75
280,2012,R,0.0,0.75
281,2012,R,0.0,0.75
282,2012,R,0.0,0.75
285,2012,R,0.0,0.5
287,2012,R,0.0,0.75
289,2012,R,0.0,0.5
295,2012,R,4000.0,0.75
296,2012,R,0.0,0.5
297,2012,R,0.0,0.75
299,2012,R,0.0,0.75
301,2012,R,0.0,0.75
302,2012,R,500.0,0.5
303,2012,R,500.0,0.75
307,2012,R,2000.0,0.75
312,2012,R,2750.0,0.75
314,2012,R,0.0,0.75
317,2012,R,0.0,0.75
319,2012,R,0.0,0.25
320,2012,R,500.0,0.5
322,2012,R,1000.0,0.5
326,2012,R,0.0,0.75
327,2012,R,0.0,0.75
329,2012,R,0.0,0.75
330,2012,R,0.0,0.75
331,2012,R,0.0,0.5
332,2012,R,0.0,0.25
333,2012,R,0.0,0.5
336,2012,R,1000.0,0.75
338,2012,R,0.0,0.75
342,2012,R,12000.0,0.5
344,2012,R,0.0,0.75
345,2012,R,0.0,0.5
347,2012,R,1000.0,0.75
350,2012,R,0.0,0.75
357,2012,R,0.0,0.75
358,2012,R,0.0,0.25
360,2012,R,0.0,0.5
361,2012,R,0.0,0.5
369,2012,R,0.0,0.75
370,2012,R,0.0,0.75
372,2012,R,0.0,0.75
374,2012,R,0.0,0.75
376,2012,R,3000.0,0.75
378,2012,R,0.0,0.5
383,2012,R,0.0,0.5
386,2012,R,0.0,0.5
390,2012,R,500.0,0.5
391,2012,R,0.0,0.75
392,2012,R,0.0,0.5
393,2012,R,0.0,0.75
395,2012,R,2000.0,0.5
396,2012,R,0.0,0.25
398,2012,R,0.0,0.5
399,2012,R,0.0,0.75
401,2012,R,0.0,0.75
403,2012,R,0.0,0.75
404,2012,R,0.0,0.75
405,2012,R,0.0,0.75
406,2012,R,0.0,0.75
410,2012,R,0.0,0.75
412,2012,R,2000.0,0.75
414,2012,R,0.0,0.5
415,2012,R,0.0,0.75
417,2012,R,0.0,0.75
418,2012,R,0.0,0.75
419,2012,R,0.0,0.75
421,2012,R,0.0,0.75
422,2012,R,0.0,0.5
424,2012,R,0.0,0.5
426,2012,R,0.0,0.5
427,2012,R,0.0,0.75
428,2012,R,0.0,0.75
430,2012,R,0.0,0.75
432,2012,D,0.0,
433,2012,D,0.0,
505,2012,D,0.0,
536,2012,R,12000.0,
540,2012,R,0.0,
588,2012,D,0.0,
654,2012,R,0.0,
656,2012,R,0.0,
660,2012,R,0.0,
