party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat
D,0.0,0.0,0.0,0.727,TESTING,1
D,0.0,0.3333333333333333,0.0,0.727,TESTING,1
D,0.0,0.4,1000.0,0.727,TESTING,1
D,1000.0,1.0,,0.727,TESTING,1
D,0.0,0.5,2000.0,0.086,TRAINING,1
D,2000.0,0.6666666666666666,2000.0,0.086,TRAINING,1
D,2000.0,0.6,1000.0,0.086,TRAINING,1
D,1000.0,1.0,,0.086,TRAINING,1
D,0.0,0.25,0.0,0.539,TRAINING,1
D,0.0,1.0,0.0,0.539,TRAINING,1
D,0.0,0.8,0.0,0.539,TRAINING,1
D,0.0,1.0,,0.539,TRAINING,1
D,3700.0,0.0,,0.5191,TRAINING,1
D,0.0,0.4,3700.0,0.5191,TRAINING,1
D,0.0,0.25,0.0,0.5191,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.5191,TRAINING,1
D,0.0,0.0,0.0,0.5734,TESTING,1
D,0.0,0.0,0.0,0.5734,TESTING,1
D,0.0,0.2,0.0,0.5734,TESTING,1
D,0.0,1.0,,0.5734,TESTING,1
D,0.0,1.0,,0.6265,TESTING,1
D,0.0,0.5,0.0,0.6265,TESTING,1
D,0.0,0.3333333333333333,0.0,0.6265,TESTING,1
D,0.0,0.8,0.0,0.6265,TESTING,1
D,0.0,1.0,,0.0466,TRAINING,1
D,0.0,0.8,0.0,0.0466,TRAINING,1
D,0.0,0.0,0.0,0.0466,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.0466,TRAINING,1
D,0.0,0.0,1000.0,0.4426,TRAINING,1
D,1000.0,0.3333333333333333,0.0,0.4426,TRAINING,1
D,0.0,0.6,0.0,0.4426,TRAINING,1
D,0.0,1.0,,0.4426,TRAINING,1
D,0.0,0.0,0.0,0.5578,TESTING,1
D,0.0,0.3333333333333333,0.0,0.5578,TESTING,1
D,0.0,0.8,80.0,0.5578,TESTING,1
D,80.0,1.0,,0.5578,TESTING,1
D,0.0,1.0,,0.8322,TESTING,1
D,0.0,0.4,0.0,0.8322,TESTING,1
D,0.0,0.3333333333333333,0.0,0.8322,TESTING,1
D,250.0,0.0,0.0,0.8322,TESTING,1
D,0.0,0.5,0.0,0.1685,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.1685,TRAINING,1
D,0.0,0.8,0.0,0.1685,TRAINING,1
D,0.0,0.0,,0.1685,TRAINING,1
D,0.0,0.25,0.0,0.0769,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.0769,TRAINING,1
D,0.0,0.4,0.0,0.0769,TRAINING,1
D,0.0,1.0,,0.0769,TRAINING,1
D,0.0,0.8,0.0,0.6949,TESTING,1
D,0.0,1.0,,0.6949,TESTING,1
D,0.0,0.0,0.0,0.6949,TESTING,1
D,0.0,0.3333333333333333,0.0,0.6949,TESTING,1
D,0.0,1.0,,0.2433,TRAINING,1
D,0.0,0.4,0.0,0.2433,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.2433,TRAINING,1
D,0.0,0.0,0.0,0.2433,TRAINING,1
D,0.0,0.0,0.0,0.5311,TRAINING,1
D,0.0,0.6666666666666666,0.0,0.5311,TRAINING,1
D,0.0,0.8,0.0,0.5311,TRAINING,1
D,0.0,1.0,,0.5311,TRAINING,1
D,4675.0,0.5,0.0,0.5051,TRAINING,1
D,0.0,0.6666666666666666,0.0,0.5051,TRAINING,1
D,0.0,0.6,2000.0,0.5051,TRAINING,1
D,2000.0,1.0,,0.5051,TRAINING,1
D,0.0,0.8,0.0,0.642,TESTING,1
D,0.0,0.5,,0.642,TESTING,1
D,0.0,0.25,0.0,0.642,TESTING,1
D,0.0,0.3333333333333333,0.0,0.642,TESTING,1
D,0.0,0.5,0.0,0.1184,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.1184,TRAINING,1
D,0.0,0.8,0.0,0.1184,TRAINING,1
D,0.0,1.0,,0.1184,TRAINING,1
D,0.0,0.5,0.0,0.4555,TRAINING,1
D,0.0,0.3333333333333333,1000.0,0.4555,TRAINING,1
D,1000.0,0.2,0.0,0.4555,TRAINING,1
D,0.0,1.0,,0.4555,TRAINING,1
D,0.0,0.25,0.0,0.3385,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.3385,TRAINING,1
D,0.0,0.8,0.0,0.3385,TRAINING,1
D,0.0,1.0,,0.3385,TRAINING,1
D,0.0,0.8,0.0,0.6396,TESTING,1
D,0.0,1.0,,0.6396,TESTING,1
D,0.0,0.3333333333333333,0.0,0.6396,TESTING,1
D,0.0,0.25,0.0,0.6396,TESTING,1
D,2000.0,0.25,2000.0,0.8666,TESTING,1
D,2000.0,0.3333333333333333,3300.0,0.8666,TESTING,1
D,3300.0,0.8,0.0,0.8666,TESTING,1
D,0.0,1.0,,0.8666,TESTING,1
D,1177.0,1.0,,0.9274,TESTING,1
D,0.0,0.0,0.0,0.9274,TESTING,1
D,0.0,0.3333333333333333,0.0,0.9274,TESTING,1
D,0.0,0.6,1177.0,0.9274,TESTING,1
D,3061.0,0.5,,0.2558,TRAINING,1
D,0.0,0.6,3061.0,0.2558,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.2558,TRAINING,1
D,0.0,0.0,0.0,0.2558,TRAINING,1
D,0.0,0.5,,0.7849,TESTING,1
D,0.0,0.0,0.0,0.7849,TESTING,1
D,0.0,0.3333333333333333,0.0,0.7849,TESTING,1
D,0.0,0.4,0.0,0.7849,TESTING,1
D,0.0,0.8,0.0,0.2047,TRAINING,1
D,0.0,1.0,,0.2047,TRAINING,1
D,0.0,0.5,0.0,0.2047,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.2047,TRAINING,1
D,0.0,0.8,0.0,0.2747,TRAINING,1
D,0.0,1.0,,0.2747,TRAINING,1
D,0.0,0.25,0.0,0.2747,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.2747,TRAINING,1
D,0.0,1.0,,0.9167,TESTING,1
D,0.0,0.6,0.0,0.9167,TESTING,1
D,0.0,0.3333333333333333,0.0,0.9167,TESTING,1
D,0.0,0.25,0.0,0.9167,TESTING,1
D,0.0,0.0,0.0,0.9998,TESTING,1
D,0.0,0.3333333333333333,0.0,0.9998,TESTING,1
D,0.0,0.8,0.0,0.9998,TESTING,1
D,0.0,1.0,,0.9998,TESTING,1
D,0.0,0.5,0.0,0.0189,TRAINING,1
D,0.0,0.6666666666666666,1000.0,0.0189,TRAINING,1
D,1000.0,1.0,0.0,0.0189,TRAINING,1
D,0.0,1.0,,0.0189,TRAINING,1
D,19250.0,0.8,2500.0,0.2734,TRAINING,1
D,2500.0,1.0,,0.2734,TRAINING,1
D,0.0,0.25,6000.0,0.2734,TRAINING,1
D,6000.0,0.3333333333333333,19250.0,0.2734,TRAINING,1
D,0.0,0.0,0.0,0.3005,TRAINING,1
D,0.0,0.6666666666666666,0.0,0.3005,TRAINING,1
D,0.0,0.6,0.0,0.3005,TRAINING,1
D,0.0,0.5,,0.3005,TRAINING,1
D,1000.0,0.0,2500.0,0.4658,TRAINING,1
D,2500.0,0.3333333333333333,0.0,0.4658,TRAINING,1
D,0.0,0.8,1500.0,0.4658,TRAINING,1
D,1500.0,1.0,,0.4658,TRAINING,1
D,1000.0,0.0,0.0,0.1899,TRAINING,1
D,0.0,0.3333333333333333,7500.0,0.1899,TRAINING,1
D,7500.0,0.6,4500.0,0.1899,TRAINING,1
D,4500.0,1.0,,0.1899,TRAINING,1
D,0.0,1.0,,0.7734,TESTING,1
D,0.0,0.8,0.0,0.7734,TESTING,1
D,0.0,0.3333333333333333,0.0,0.7734,TESTING,1
D,0.0,0.25,0.0,0.7734,TESTING,1
D,0.0,0.25,2600.0,0.1267,TRAINING,1
D,2600.0,0.3333333333333333,2610.0,0.1267,TRAINING,1
D,2610.0,0.6,1602.0,0.1267,TRAINING,1
D,1602.0,1.0,,0.1267,TRAINING,1
D,0.0,0.5,0.0,0.1528,TRAINING,1
D,0.0,0.6666666666666666,0.0,0.1528,TRAINING,1
D,0.0,0.6,0.0,0.1528,TRAINING,1
D,0.0,1.0,,0.1528,TRAINING,1
D,0.0,0.5,0.0,0.3556,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.3556,TRAINING,1
D,0.0,0.8,0.0,0.3556,TRAINING,1
D,0.0,1.0,,0.3556,TRAINING,1
D,0.0,0.5,,0.389,TRAINING,1
D,0.0,0.6,0.0,0.389,TRAINING,1
D,0.0,0.0,0.0,0.389,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.389,TRAINING,1
D,1000.0,0.0,1000.0,0.8838,TESTING,1
D,1000.0,0.3333333333333333,1000.0,0.8838,TESTING,1
D,1000.0,0.6,1000.0,0.8838,TESTING,1
D,1000.0,1.0,,0.8838,TESTING,1
D,0.0,0.5,0.0,0.5393,TRAINING,1
D,0.0,0.3333333333333333,1000.0,0.5393,TRAINING,1
D,1000.0,0.8,1000.0,0.5393,TRAINING,1
D,1000.0,1.0,,0.5393,TRAINING,1
D,0.0,0.6,0.0,0.8792,TESTING,1
D,0.0,1.0,,0.8792,TESTING,1
D,0.0,0.3333333333333333,0.0,0.8792,TESTING,1
D,0.0,0.0,0.0,0.8792,TESTING,1
D,0.0,0.0,0.0,0.8433,TESTING,1
D,0.0,0.3333333333333333,0.0,0.8433,TESTING,1
D,0.0,0.6,0.0,0.8433,TESTING,1
D,0.0,1.0,,0.8433,TESTING,1
D,10500.0,0.25,7500.0,0.7513,TESTING,1
D,7500.0,0.3333333333333333,5000.0,0.7513,TESTING,1
D,5000.0,0.6,40020.0,0.7513,TESTING,1
D,40020.0,1.0,,0.7513,TESTING,1
D,0.0,0.8,0.0,0.2612,TRAINING,1
D,0.0,1.0,,0.2612,TRAINING,1
D,0.0,0.6666666666666666,0.0,0.2612,TRAINING,1
D,0.0,0.5,0.0,0.2612,TRAINING,1
D,0.0,0.25,0.0,0.7041,TESTING,1
D,0.0,0.3333333333333333,0.0,0.7041,TESTING,1
D,0.0,0.8,0.0,0.7041,TESTING,1
D,0.0,1.0,,0.7041,TESTING,1
D,0.0,0.0,0.0,0.9555,TESTING,1
D,0.0,0.3333333333333333,0.0,0.9555,TESTING,1
D,0.0,0.6,0.0,0.9555,TESTING,1
D,0.0,0.5,,0.9555,TESTING,1
D,0.0,1.0,,0.6235,TESTING,1
D,1000.0,0.8,0.0,0.6235,TESTING,1
D,1050.0,0.3333333333333333,1000.0,0.6235,TESTING,1
D,0.0,0.5,1050.0,0.6235,TESTING,1
D,0.0,0.0,0.0,0.5486,TRAINING,1
D,0.0,0.6666666666666666,0.0,0.5486,TRAINING,1
D,0.0,0.6,0.0,0.5486,TRAINING,1
D,0.0,1.0,,0.5486,TRAINING,1
D,0.0,0.5,0.0,0.7099,TESTING,1
D,0.0,0.3333333333333333,0.0,0.7099,TESTING,1
D,0.0,0.6,0.0,0.7099,TESTING,1
D,0.0,1.0,,0.7099,TESTING,1
D,0.0,1.0,,0.967,TESTING,1
D,0.0,0.6,0.0,0.967,TESTING,1
D,0.0,0.3333333333333333,0.0,0.967,TESTING,1
D,0.0,0.5,0.0,0.967,TESTING,1
D,0.0,0.0,0.0,0.0775,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.0775,TRAINING,1
D,0.0,0.6,0.0,0.0775,TRAINING,1
D,0.0,1.0,,0.0775,TRAINING,1
D,0.0,0.25,0.0,0.8226,TESTING,1
D,0.0,0.3333333333333333,0.0,0.8226,TESTING,1
D,0.0,0.6,0.0,0.8226,TESTING,1
D,0.0,1.0,,0.8226,TESTING,1
D,0.0,0.8,2000.0,0.3152,TRAINING,1
D,2000.0,1.0,,0.3152,TRAINING,1
D,0.0,0.0,0.0,0.3152,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.3152,TRAINING,1
D,0.0,0.8,0.0,0.1585,TRAINING,1
D,0.0,1.0,,0.1585,TRAINING,1
D,0.0,0.75,0.0,0.1585,TRAINING,1
D,0.0,0.6666666666666666,0.0,0.1585,TRAINING,1
D,3515.0,1.0,,0.3943,TRAINING,1
D,6000.0,0.8,3515.0,0.3943,TRAINING,1
D,0.0,0.3333333333333333,6000.0,0.3943,TRAINING,1
D,2500.0,0.5,0.0,0.3943,TRAINING,1
D,0.0,0.25,0.0,0.7555,TESTING,1
D,0.0,0.3333333333333333,0.0,0.7555,TESTING,1
D,0.0,0.8,0.0,0.7555,TESTING,1
D,0.0,1.0,,0.7555,TESTING,1
D,0.0,0.0,0.0,0.3073,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.3073,TRAINING,1
D,0.0,0.8,0.0,0.3073,TRAINING,1
D,0.0,1.0,,0.3073,TRAINING,1
D,0.0,0.8,0.0,0.1021,TRAINING,1
D,0.0,1.0,,0.1021,TRAINING,1
D,0.0,0.75,0.0,0.1021,TRAINING,1
D,0.0,0.6666666666666666,0.0,0.1021,TRAINING,1
