House Vote #349 2014-06-24T14:40:00 - H.R. 4413 (113th): Customer Protection and End User Relief Act
person,state,district,vote,name,party
400004,AL,4,Aye,"Rep. Robert Aderholt [R, 1997-2022]",Republican
400010,AL,6,Aye,"Rep. Spencer Bachus III [R, 1993-2014]",Republican
400018,TX,6,Aye,"Rep. Joe Barton [R, 1985-2018]",Republican
400021,CA,34,No,"Rep. Xavier Becerra [D, 2013-2017]",Democrat
400029,UT,1,Aye,"Rep. Rob Bishop [R, 2003-2020]",Republican
400030,GA,2,Aye,"Rep. Sanford Bishop Jr. [D, 1993-2022]",Democrat
400031,NY,1,No,"Rep. Timothy Bishop [D, 2003-2014]",Democrat
400032,TN,7,Aye,"Rep. Marsha Blackburn [R, 2003-2018]",Republican
400033,OR,3,No,"Rep. Earl Blumenauer [D, 1996-2022]",Democrat
400046,TX,8,Aye,"Rep. Kevin Brady [R, 1997-2022]",Republican
400047,PA,1,No,"Rep. Robert Brady [D, 1998-2018]",Democrat
400048,FL,5,No,"Rep. Corrine Brown [D, 2013-2016]",Democrat
400052,TX,26,Aye,"Rep. Michael Burgess [R, 2003-2022]",Republican
400057,CA,42,Aye,"Rep. Ken Calvert [R, 2013-2022]",Republican
400058,MI,4,Aye,"Rep. Dave Camp [R, 1993-2014]",Republican
400060,VA,7,Not Voting,"Rep. Eric Cantor [R, 2001-2014]",Republican
400061,WV,2,Aye,"Rep. Shelley Capito [R, 2001-2014]",Republican
400062,CA,24,No,"Rep. Lois Capps [D, 2013-2016]",Democrat
400063,MA,7,No,"Rep. Michael Capuano [D, 2013-2018]",Democrat
400068,TX,31,Aye,"Rep. John Carter [R, 2003-2022]",Republican
400071,OH,1,Aye,"Rep. Steve Chabot [R, 2011-2022]",Republican
400074,MO,1,No,"Rep. Lacy Clay Jr. [D, 2001-2020]",Democrat
400075,SC,6,No,"Rep. James “Jim” Clyburn [D, 1993-2022]",Democrat
400076,NC,6,Aye,"Rep. Howard Coble [R, 1985-2014]",Republican
400077,OK,4,Aye,"Rep. Tom Cole [R, 2003-2022]",Republican
400080,MI,13,No,"Rep. John Conyers Jr. [D, 2013-2017]",Democrat
400081,TN,5,Aye,"Rep. Jim Cooper [D, 2003-2022]",Democrat
400086,FL,4,Aye,"Rep. Ander Crenshaw [R, 2001-2016]",Republican
400087,NY,14,Not Voting,"Rep. Joseph “Joe” Crowley [D, 2013-2018]",Democrat
400089,TX,7,Aye,"Rep. John Culberson [R, 2001-2018]",Republican
400090,MD,7,No,"Rep. Elijah Cummings [D, 1996-2019]",Democrat
400093,IL,7,No,"Rep. Danny Davis [D, 1997-2022]",Democrat
400097,CA,53,No,"Rep. Susan Davis [D, 2003-2020]",Democrat
400100,OR,4,No,"Rep. Peter DeFazio [D, 1987-2022]",Democrat
400101,CO,1,No,"Rep. Diana DeGette [D, 1997-2022]",Democrat
400103,CT,3,No,"Rep. Rosa DeLauro [D, 1991-2022]",Democrat
400108,FL,25,Aye,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican
400110,MI,12,No,"Rep. John Dingell [D, 2013-2014]",Democrat
400111,TX,35,No,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat
400114,PA,14,No,"Rep. Michael Doyle [D, 2003-2018]",Democrat
400116,TN,2,Aye,"Rep. John “Jimmy” Duncan Jr. [R, 1988-2018]",Republican
400122,NY,16,No,"Rep. Eliot Engel [D, 2013-2020]",Democrat
400124,CA,18,No,"Rep. Anna Eshoo [D, 2013-2022]",Democrat
400129,CA,20,No,"Rep. Sam Farr [D, 2013-2016]",Democrat
400130,PA,2,No,"Rep. Chaka Fattah [D, 1995-2016]",Democrat
400137,VA,4,Aye,"Rep. Randy Forbes [R, 2001-2016]",Republican
400141,AZ,8,Aye,"Rep. Trent Franks [R, 2013-2017]",Republican
400142,NJ,11,Aye,"Rep. Rodney Frelinghuysen [R, 1995-2018]",Republican
400145,NJ,5,Aye,"Rep. Scott Garrett [R, 2003-2016]",Republican
400147,PA,6,Aye,"Rep. Jim Gerlach [R, 2003-2014]",Republican
400151,GA,11,Aye,"Rep. Phil Gingrey [R, 2003-2014]",Republican
400154,VA,6,Aye,"Rep. Bob Goodlatte [R, 1993-2018]",Republican
400157,TX,12,Aye,"Rep. Kay Granger [R, 1997-2022]",Republican
400158,MO,6,Aye,"Rep. Sam Graves [R, 2001-2022]",Republican
400160,TX,29,No,"Rep. Gene Green [D, 1993-2018]",Democrat
400162,AZ,3,No,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat
400163,IL,4,No,"Rep. Luis Gutiérrez [D, 1993-2018]",Democrat
400165,TX,4,Aye,"Rep. Ralph Hall [R, 1981-2014]",Republican
400170,FL,20,No,"Rep. Alcee Hastings [D, 2013-2021]",Democrat
400171,WA,4,Aye,"Rep. Doc Hastings [R, 1995-2014]",Republican
400175,TX,5,Aye,"Rep. Jeb Hensarling [R, 2003-2018]",Republican
400179,TX,15,No,"Rep. Rubén Hinojosa [D, 1997-2016]",Democrat
400184,NJ,12,No,"Rep. Rush Holt [D, 1999-2014]",Democrat
400185,CA,17,No,"Rep. Michael “Mike” Honda [D, 2013-2016]",Democrat
400189,MD,5,No,"Rep. Steny Hoyer [D, 1981-2022]",Democrat
400195,NY,3,No,"Rep. Steve Israel [D, 2013-2016]",Democrat
400196,CA,49,Aye,"Rep. Darrell Issa [R, 2003-2018]",Republican
400199,TX,18,No,"Rep. Sheila Jackson Lee [D, 1995-2022]",Democrat
400204,TX,30,No,"Rep. Eddie Johnson [D, 1993-2022]",Democrat
400206,TX,3,Aye,"Rep. Sam Johnson [R, 1991-2018]",Republican
400209,NC,3,No,"Rep. Walter Jones Jr. [R, 1995-2019]",Republican
400211,OH,9,No,"Rep. Marcy Kaptur [D, 1983-2022]",Democrat
400218,WI,3,Aye,"Rep. Ron Kind [D, 1997-2022]",Democrat
400219,NY,2,Aye,"Rep. Peter “Pete” King [R, 2013-2020]",Republican
400220,IA,4,Aye,"Rep. Steve King [R, 2013-2020]",Republican
400221,GA,1,Not Voting,"Rep. Jack Kingston [R, 1993-2014]",Republican
400224,MN,2,Aye,"Rep. John Kline [R, 2003-2016]",Republican
400230,RI,2,No,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat
400232,WA,2,Aye,"Rep. Rick Larsen [D, 2001-2022]",Democrat
400233,CT,1,No,"Rep. John Larson [D, 1999-2022]",Democrat
400234,IA,3,Aye,"Rep. Tom Latham [R, 2013-2014]",Republican
400237,CA,13,No,"Rep. Barbara Lee [D, 2013-2022]",Democrat
400238,MI,9,No,"Rep. Sander Levin [D, 2013-2018]",Democrat
400240,GA,5,No,"Rep. John Lewis [D, 1987-2020]",Democrat
400244,NJ,2,Aye,"Rep. Frank LoBiondo [R, 1995-2018]",Republican
400245,CA,19,No,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat
400246,NY,17,No,"Rep. Nita Lowey [D, 2013-2020]",Democrat
400247,OK,3,Aye,"Rep. Frank Lucas [R, 2003-2022]",Republican
400249,MA,8,No,"Rep. Stephen Lynch [D, 2013-2022]",Democrat
400251,NY,12,No,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat
400255,UT,4,Aye,"Rep. Jim Matheson [D, 2013-2014]",Democrat
400257,NY,4,Not Voting,"Rep. Carolyn McCarthy [D, 1997-2014]",Democrat
400259,MN,4,No,"Rep. Betty McCollum [D, 2001-2022]",Democrat
400262,WA,7,No,"Rep. Jim McDermott [D, 1989-2016]",Democrat
400263,MA,2,No,"Rep. James “Jim” McGovern [D, 2013-2022]",Democrat
