House Vote #151 2015-04-14T17:55:00 - H.R. 650: Preserving Access to Manufactured Housing Act of 2015
person,state,district,vote,name,party
400004,AL,4,Yea,"Rep. Robert Aderholt [R, 1997-2022]",Republican
400018,TX,6,Yea,"Rep. Joe Barton [R, 1985-2018]",Republican
400021,CA,34,Nay,"Rep. Xavier Becerra [D, 2013-2017]",Democrat
400029,UT,1,Yea,"Rep. Rob Bishop [R, 2003-2020]",Republican
400030,GA,2,Yea,"Rep. Sanford Bishop Jr. [D, 1993-2022]",Democrat
400032,TN,7,Yea,"Rep. Marsha Blackburn [R, 2003-2018]",Republican
400033,OR,3,Nay,"Rep. Earl Blumenauer [D, 1996-2022]",Democrat
400046,TX,8,Yea,"Rep. Kevin Brady [R, 1997-2022]",Republican
400047,PA,1,Nay,"Rep. Robert Brady [D, 1998-2018]",Democrat
400048,FL,5,Nay,"Rep. Corrine Brown [D, 2013-2016]",Democrat
400052,TX,26,Yea,"Rep. Michael Burgess [R, 2003-2022]",Republican
400057,CA,42,Yea,"Rep. Ken Calvert [R, 2013-2022]",Republican
400062,CA,24,Nay,"Rep. Lois Capps [D, 2013-2016]",Democrat
400063,MA,7,Nay,"Rep. Michael Capuano [D, 2013-2018]",Democrat
400068,TX,31,Yea,"Rep. John Carter [R, 2003-2022]",Republican
400071,OH,1,Yea,"Rep. Steve Chabot [R, 2011-2022]",Republican
400074,MO,1,Yea,"Rep. Lacy Clay Jr. [D, 2001-2020]",Democrat
400075,SC,6,Nay,"Rep. James “Jim” Clyburn [D, 1993-2022]",Democrat
400077,OK,4,Yea,"Rep. Tom Cole [R, 2003-2022]",Republican
400080,MI,13,Nay,"Rep. John Conyers Jr. [D, 2013-2017]",Democrat
400081,TN,5,Yea,"Rep. Jim Cooper [D, 2003-2022]",Democrat
400086,FL,4,Yea,"Rep. Ander Crenshaw [R, 2001-2016]",Republican
400087,NY,14,Nay,"Rep. Joseph “Joe” Crowley [D, 2013-2018]",Democrat
400089,TX,7,Yea,"Rep. John Culberson [R, 2001-2018]",Republican
400090,MD,7,Nay,"Rep. Elijah Cummings [D, 1996-2019]",Democrat
400093,IL,7,Nay,"Rep. Danny Davis [D, 1997-2022]",Democrat
400097,CA,53,Nay,"Rep. Susan Davis [D, 2003-2020]",Democrat
400100,OR,4,Yea,"Rep. Peter DeFazio [D, 1987-2022]",Democrat
400101,CO,1,Nay,"Rep. Diana DeGette [D, 1997-2022]",Democrat
400103,CT,3,Nay,"Rep. Rosa DeLauro [D, 1991-2022]",Democrat
400108,FL,25,Yea,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican
