"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Peters Gary","$14400","$14400","$0","Candidate (D-MI14)","Democrat","Cand","House"
"Recchia Domenic","$5700","$5700","$0","Candidate (D-NY11)","Democrat","Cand","House"
"Moulton Seth","$5200","$5200","$0","Candidate (D-MA06)","Democrat","Cand","House"
"Crowley Joseph","$5200","$5200","$0","Candidate (D-NY14)","Democrat","Cand","House"
"Rice Kathleen","$5200","$5200","$0","Candidate (D-NY04)","Democrat","Cand","House"
"Esty Elizabeth","$5200","$5200","$0","Candidate (D-CT05)","Democrat","Cand","House"
"Eldridge Sean","$4400","$4400","$0","Candidate (D-NY19)","Democrat","Cand","House"
"Cho Roy","$2800","$2800","$0","Candidate (D-NJ05)","Democrat","Cand","House"
"Deutch Ted","$2600","$2600","$0","Candidate (D-FL21)","Democrat","Cand","House"
"Lowey Nita M","$2600","$2600","$0","Candidate (D-NY17)","Democrat","Cand","House"
"Margolies Marjorie","$2600","$2600","$0","Candidate (D-PA13)","Democrat","Cand","House"
"Ashford Brad","$2600","$2600","$0","Candidate (D-NE02)","Democrat","Cand","House"
"Kennedy Joe III","$2500","$2500","$0","Candidate (D-MA04)","Democrat","Cand","House"
"Maloney Sean Patrick","$2000","$2000","$0","Candidate (D-NY18)","Democrat","Cand","House"
"Mowrer Jim","$1500","$1500","$0","Candidate (D-IA04)","Democrat","Cand","House"
"Busch Elizabeth Colbert","$1000","$1000","$0","Candidate (D-SC01)","Democrat","Cand","House"
"Nadler Jerrold","$1000","$1000","$0","Candidate (D-NY10)","Democrat","Cand","House"
"Himes Jim","$1000","$1000","$0","Candidate (D-CT04)","Democrat","Cand","House"
"Kuster Ann","$1000","$1000","$0","Candidate (D-NH02)","Democrat","Cand","House"
"Miller Matthew Louis","$1000","$1000","$0","Candidate (D-CA33)","Democrat","Cand","House"
"Maffei Dan","$500","$500","$0","Candidate (D-NY24)","Democrat","Cand","House"
"Garrett Scott","$500","$500","$0","Candidate (R-NJ05)","Republican","Cand","House"
"Lonegan Steve","$450","$450","$0","Candidate (R-NJ03)","Republican","Cand","House"
"Roche Frank","$400","$400","$0","Candidate (R-NC02)","Republican","Cand","House"
"Hall Heidi","$300","$300","$0","Candidate (D-CA01)","Democrat","Cand","House"
"Boehner John","$250","$250","$0","Candidate (R-OH08)","Republican","Cand","House"
"Hayworth Nan","$250","$250","$0","Candidate (R-NY18)","Republican","Cand","House"
