"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Himes Jim","$15000","$15000","$0","Candidate (D-CT04)","Democrat","Cand","House"
"Dold Bob","$15000","$15000","$0","Candidate (R-IL10)","Republican","Cand","House"
"Murphy Christopher S","$13500","$13500","$0","Candidate (D-CT05)","Democrat","Cand","House"
"Cotton Tom","$5000","$5000","$0","Candidate (R-AR04)","Republican","Cand","House"
"Biggert Judy","$5000","$5000","$0","Candidate (R-IL13)","Republican","Cand","House"
"Cantor Eric","$5000","$5000","$0","Candidate (R-VA07)","Republican","Cand","House"
"Ryan Paul","$5000","$5000","$0","Candidate (R-WI01)","Republican","Cand","House"
"Duffy Sean P","$4700","$4700","$0","Candidate (R-WI07)","Republican","Cand","House"
"Berg Rick","$3500","$3500","$0","Candidate (R-ND01)","Republican","Cand","House"
"Rehberg Denny","$3500","$3500","$0","Candidate (R-MT01)","Republican","Cand","House"
"Kinzinger Adam","$3000","$3000","$0","Candidate (R-IL11)","Republican","Cand","House"
"Khanna Ro","$2500","$2500","$0","Candidate (D-CA12)","Democrat","Cand","House"
"Esty Elizabeth","$2500","$2500","$0","Candidate (D-CT05)","Democrat","Cand","House"
"Hurt Robert","$2500","$2500","$0","Candidate (R-VA05)","Republican","Cand","House"
"Doheny Matt","$2000","$2000","$0","Candidate (R-NY21)","Republican","Cand","House"
"Hoyer Steny H","$2000","$2000","$0","Candidate (D-MD05)","Democrat","Cand","House"
"Clayton Taj","$1750","$1750","$0","Candidate (D-TX30)","Democrat","Cand","House"
"Baldwin Tammy","$1000","$1000","$0","Candidate (D-WI02)","Democrat","Cand","House"
"Schneider Brad","$1000","$1000","$0","Candidate (D-IL10)","Democrat","Cand","House"
"Bachus Spencer","$1000","$1000","$0","Candidate (R-AL06)","Republican","Cand","House"
"Carson Andre","$1000","$1000","$0","Candidate (D-IN07)","Democrat","Cand","House"
"Quigley Mike","$1000","$1000","$0","Candidate (D-IL05)","Democrat","Cand","House"
"Hayworth Nan","$1000","$1000","$0","Candidate (R-NY19)","Republican","Cand","House"
"Pantano Ilario Gregory","$500","$500","$0","Candidate (R-NC07)","Republican","Cand","House"
"Ellison Keith","$500","$500","$0","Candidate (D-MN05)","Democrat","Cand","House"
"Maloney Carolyn B","$500","$500","$0","Candidate (D-NY14)","Democrat","Cand","House"
"Shinagawa Nathan","$250","$250","$0","Candidate (D-NY23)","Democrat","Cand","House"
