"Recipient","Total","From Individuals","From Organization","Recipient Type","View","Type","Chamber"
"Roskam Peter","$25300","$25300","$0","Candidate (R-IL06)","Republican","Cand","House"
"Delgado Antonio","$8100","$8100","$0","Candidate (D-NY19)","Democrat","Cand","House"
"Bost Mike","$8100","$8100","$0","Candidate (R-IL12)","Republican","Cand","House"
"Lunkenheimer Ashley","$5900","$5900","$0","Candidate (D-PA05)","Democrat","Cand","House"
"Slotkin Elissa","$5474","$5474","$0","Candidate (D-MI08)","Democrat","Cand","House"
"Luria Elaine","$5455","$5455","$0","Candidate (D-VA02)","Democrat","Cand","House"
"Mucarsel-Powell Debbie","$5450","$5450","$0","Candidate (D-FL26)","Democrat","Cand","House"
"Krishnamoorthi Raja","$5400","$5400","$0","Candidate (D-IL08)","Democrat","Cand","House"
"Sinema Kyrsten","$5400","$5400","$0","Candidate (D-AZ09)","Democrat","Cand","House"
"Handel Karen","$5400","$5400","$0","Candidate (R-GA06)","Republican","Cand","House"
"Gallagher Mike","$5400","$5400","$0","Candidate (R-WI08)","Republican","Cand","House"
"Ryan Paul","$5400","$5400","$0","Candidate (R-WI01)","Republican","Cand","House"
"Craig Angie","$5400","$5400","$0","Candidate (D-MN02)","Democrat","Cand","House"
"Lee Susie","$5400","$5400","$0","Candidate (D-NV03)","Democrat","Cand","House"
"Schiff Adam","$5400","$5400","$0","Candidate (D-CA28)","Democrat","Cand","House"
"Scalise Steve","$5400","$5400","$0","Candidate (R-LA01)","Republican","Cand","House"
"Taylor Scott","$5400","$5400","$0","Candidate (R-VA02)","Republican","Cand","House"
"Himes Jim","$5400","$5400","$0","Candidate (D-CT04)","Democrat","Cand","House"
"Davis Rodney","$5400","$5400","$0","Candidate (R-IL13)","Republican","Cand","House"
"McCarthy Kevin","$5400","$5400","$0","Candidate (R-CA23)","Republican","Cand","House"
"Duffy Sean P","$5400","$5400","$0","Candidate (R-WI07)","Republican","Cand","House"
"Yoder Kevin","$5400","$5400","$0","Candidate (R-KS03)","Republican","Cand","House"
"McHenry Patrick","$5400","$5400","$0","Candidate (R-NC10)","Republican","Cand","House"
"Hultgren Randy","$5400","$5400","$0","Candidate (R-IL14)","Republican","Cand","House"
"Kirkpatrick Ann","$5400","$5400","$0","Candidate (D-AZ02)","Democrat","Cand","House"
"Barr Andy","$5400","$5400","$0","Candidate (R-KY06)","Republican","Cand","House"
"MacArthur Thomas","$5400","$5400","$0","Candidate (R-NJ03)","Republican","Cand","House"
"Gianforte Greg","$5400","$5400","$0","Candidate (R-MT01)","Republican","Cand","House"
"Waltz Michael","$5400","$5400","$0","Candidate (R-FL06)","Republican","Cand","House"
"Crow Jason","$5399","$5399","$0","Candidate (D-CO06)","Democrat","Cand","House"
"Houlahan Chrissy","$5398","$5398","$0","Candidate (D-PA06)","Democrat","Cand","House"
"Rose Max","$5063","$5063","$0","Candidate (D-NY11)","Democrat","Cand","House"
"O'Rourke Beto","$4725","$4725","$0","Candidate (D-TX16)","Democrat","Cand","House"
"Stevens Haley","$4365","$4365","$0","Candidate (D-MI11)","Democrat","Cand","House"
"McCready Dan","$4163","$4163","$0","Candidate (D-NC09)","Democrat","Cand","House"
"Feehan Daniel","$4068","$4068","$0","Candidate (D-MN01)","Democrat","Cand","House"
"McGrath Amy","$4068","$4068","$0","Candidate (D-KY06)","Democrat","Cand","House"
"Sherrill Mikie","$4063","$4063","$0","Candidate (D-NJ11)","Democrat","Cand","House"
"Khanna Ro","$3700","$3700","$0","Candidate (D-CA17)","Democrat","Cand","House"
"Steil Bryan","$3700","$3700","$0","Candidate (R-WI01)","Republican","Cand","House"
"Malinowski Tom","$2775","$2775","$0","Candidate (D-NJ07)","Democrat","Cand","House"
"Axne Cindy","$2758","$2758","$0","Candidate (D-IA03)","Democrat","Cand","House"
"Schrier Kim","$2750","$2750","$0","Candidate (D-WA08)","Democrat","Cand","House"
"Sullivan Maura","$2750","$2750","$0","Candidate (D-NH01)","Democrat","Cand","House"
"Davids Sharice","$2750","$2750","$0","Candidate (D-KS03)","Democrat","Cand","House"
"Porter Katie","$2725","$2725","$0","Candidate (D-CA45)","Democrat","Cand","House"
"Fletcher Lizzie","$2705","$2705","$0","Candidate (D-TX07)","Democrat","Cand","House"
"Spanberger Abigail","$2705","$2705","$0","Candidate (D-VA07)","Democrat","Cand","House"
"Harder Josh","$2705","$2705","$0","Candidate (D-CA10)","Democrat","Cand","House"
"Walters Mimi","$2700","$2700","$0","Candidate (R-CA45)","Republican","Cand","House"
"Comstock Barbara","$2700","$2700","$0","Candidate (R-VA10)","Republican","Cand","House"
"Levin Mike","$2700","$2700","$0","Candidate (D-CA49)","Democrat","Cand","House"
"Eastman Kara","$2700","$2700","$0","Candidate (D-NE02)","Democrat","Cand","House"
"Phillips Dean","$2700","$2700","$0","Candidate (D-MN03)","Democrat","Cand","House"
"Stefanik Elise","$2700","$2700","$0","Candidate (R-NY21)","Republican","Cand","House"
"Green Mark","$2700","$2700","$0","Candidate (R-TN07)","Republican","Cand","House"
"Blackburn Marsha","$2700","$2700","$0","Candidate (R-TN07)","Republican","Cand","House"
"Mast Brian","$2700","$2700","$0","Candidate (R-FL18)","Republican","Cand","House"
"Allred Colin","$2700","$2700","$0","Candidate (D-TX32)","Democrat","Cand","House"
"Epstein Lena","$2700","$2700","$0","Candidate (R-MI11)","Republican","Cand","House"
"Wild Susan","$2700","$2700","$0","Candidate (D-PA15)","Democrat","Cand","House"
"Kim Young","$2700","$2700","$0","Candidate (R-CA39)","Republican","Cand","House"
"Coffman Mike","$2700","$2700","$0","Candidate (R-CO06)","Republican","Cand","House"
"Kim Andy","$2700","$2700","$0","Candidate (D-NJ03)","Democrat","Cand","House"
"Peterson Lea Marquez","$2700","$2700","$0","Candidate (R-AZ02)","Republican","Cand","House"
"Crenshaw Dan","$2700","$2700","$0","Candidate (R-TX02)","Republican","Cand","House"
"Hurd Will","$2700","$2700","$0","Candidate (R-TX23)","Republican","Cand","House"
"Curbelo Carlos","$2700","$2700","$0","Candidate (R-FL26)","Republican","Cand","House"
"Hill Katie","$2700","$2700","$0","Candidate (D-CA25)","Democrat","Cand","House"
"Gonzalez Anthony","$2700","$2700","$0","Candidate (R-OH16)","Republican","Cand","House"
"Hayes Jahana","$2700","$2700","$0","Candidate (D-CT05)","Democrat","Cand","House"
