person,state,district,vote,name,party
400004,AL,4,Nay,"Rep. Robert Aderholt [R, 1997-2022]",Republican
400029,UT,1,Nay,"Rep. Rob Bishop [R, 2003-2020]",Republican
400030,GA,2,Yea,"Rep. Sanford Bishop Jr. [D, 1993-2022]",Democrat
400033,OR,3,Yea,"Rep. Earl Blumenauer [D, 1996-2022]",Democrat
400046,TX,8,Nay,"Rep. Kevin Brady [R, 1997-2022]",Republican
400052,TX,26,Nay,"Rep. Michael Burgess [R, 2003-2022]",Republican
400057,CA,42,Nay,"Rep. Ken Calvert [R, 2013-2022]",Republican
400068,TX,31,Not Voting,"Rep. John Carter [R, 2003-2022]",Republican
400069,HI,1,Yea,"Rep. Ed Case [D, 2019-2022]",Democrat
400071,OH,1,Nay,"Rep. Steve Chabot [R, 2011-2022]",Republican
400074,MO,1,Yea,"Rep. Lacy Clay Jr. [D, 2001-2020]",Democrat
400075,SC,6,Yea,"Rep. James “Jim” Clyburn [D, 1993-2022]",Democrat
400077,OK,4,Nay,"Rep. Tom Cole [R, 2003-2022]",Republican
400081,TN,5,Yea,"Rep. Jim Cooper [D, 2003-2022]",Democrat
400093,IL,7,Yea,"Rep. Danny Davis [D, 1997-2022]",Democrat
400097,CA,53,Yea,"Rep. Susan Davis [D, 2003-2020]",Democrat
400100,OR,4,Yea,"Rep. Peter DeFazio [D, 1987-2022]",Democrat
400101,CO,1,Yea,"Rep. Diana DeGette [D, 1997-2022]",Democrat
400103,CT,3,Yea,"Rep. Rosa DeLauro [D, 1991-2022]",Democrat
400108,FL,25,Nay,"Rep. Mario Diaz-Balart [R, 2013-2022]",Republican
400111,TX,35,Yea,"Rep. Lloyd Doggett [D, 2013-2022]",Democrat
400114,PA,18,Yea,"Rep. Michael Doyle [D, 2019-2022]",Democrat
400122,NY,16,Yea,"Rep. Eliot Engel [D, 2013-2020]",Democrat
400124,CA,18,Yea,"Rep. Anna Eshoo [D, 2013-2022]",Democrat
400157,TX,12,Not Voting,"Rep. Kay Granger [R, 1997-2022]",Republican
400158,MO,6,Nay,"Rep. Sam Graves [R, 2001-2022]",Republican
400162,AZ,3,Yea,"Rep. Raúl Grijalva [D, 2013-2022]",Democrat
400170,FL,20,Yea,"Rep. Alcee Hastings [D, 2013-2022]",Democrat
400189,MD,5,Yea,"Rep. Steny Hoyer [D, 1981-2022]",Democrat
400199,TX,18,Yea,"Rep. Sheila Jackson Lee [D, 1995-2022]",Democrat
400204,TX,30,Not Voting,"Rep. Eddie Johnson [D, 1993-2022]",Democrat
400211,OH,9,Yea,"Rep. Marcy Kaptur [D, 1983-2022]",Democrat
400218,WI,3,Yea,"Rep. Ron Kind [D, 1997-2022]",Democrat
400219,NY,2,Yea,"Rep. Peter “Pete” King [R, 2013-2020]",Republican
400220,IA,4,Nay,"Rep. Steve King [R, 2013-2020]",Republican
400230,RI,2,Yea,"Rep. James “Jim” Langevin [D, 2001-2022]",Democrat
400232,WA,2,Yea,"Rep. Rick Larsen [D, 2001-2022]",Democrat
400233,CT,1,Yea,"Rep. John Larson [D, 1999-2022]",Democrat
400237,CA,13,Yea,"Rep. Barbara Lee [D, 2013-2022]",Democrat
400240,GA,5,Not Voting,"Rep. John Lewis [D, 1987-2020]",Democrat
400245,CA,19,Not Voting,"Rep. Zoe Lofgren [D, 2013-2022]",Democrat
400246,NY,17,Yea,"Rep. Nita Lowey [D, 2013-2020]",Democrat
400247,OK,3,Not Voting,"Rep. Frank Lucas [R, 2003-2022]",Republican
400249,MA,8,Yea,"Rep. Stephen Lynch [D, 2013-2022]",Democrat
400251,NY,12,Yea,"Rep. Carolyn Maloney [D, 2013-2022]",Democrat
400259,MN,4,Yea,"Rep. Betty McCollum [D, 2001-2022]",Democrat
400263,MA,2,Yea,"Rep. James “Jim” McGovern [D, 2013-2022]",Democrat
400271,NY,5,Yea,"Rep. Gregory Meeks [D, 2013-2022]",Democrat
400289,NY,10,Yea,"Rep. Jerrold Nadler [D, 2013-2022]",Democrat
400290,CA,32,Not Voting,"Rep. Grace Napolitano [D, 2013-2022]",Democrat
400291,MA,1,Yea,"Rep. Richard Neal [D, 2013-2022]",Democrat
400297,CA,22,Nay,"Rep. Devin Nunes [R, 2013-2022]",Republican
400308,NJ,6,Yea,"Rep. Frank Pallone Jr. [D, 1993-2022]",Democrat
400309,NJ,9,Yea,"Rep. Bill Pascrell Jr. [D, 2013-2022]",Democrat
400314,CA,12,Yea,"Rep. Nancy Pelosi [D, 2013-2022]",Democrat
400316,MN,7,Yea,"Rep. Collin Peterson [D, 1991-2020]",Democrat
400326,NC,4,Yea,"Rep. David Price [D, 1997-2022]",Democrat
400340,KY,5,Nay,"Rep. Harold “Hal” Rogers [R, 1981-2022]",Republican
400341,AL,3,Nay,"Rep. Mike Rogers [R, 2003-2022]",Republican
400347,CA,40,Not Voting,"Rep. Lucille Roybal-Allard [D, 2013-2022]",Democrat
400349,MD,2,Yea,"Rep. A. Dutch Ruppersberger [D, 2003-2022]",Democrat
400350,IL,1,Yea,"Rep. Bobby Rush [D, 1993-2022]",Democrat
400352,OH,13,Yea,"Rep. Tim Ryan [D, 2013-2022]",Democrat
400355,CA,38,Yea,"Rep. Linda Sánchez [D, 2013-2022]",Democrat
400360,IL,9,Yea,"Rep. Janice “Jan” Schakowsky [D, 1999-2022]",Democrat
400361,CA,28,Yea,"Rep. Adam Schiff [D, 2013-2022]",Democrat
400363,GA,13,Yea,"Rep. David Scott [D, 2003-2022]",Democrat
400364,VA,3,Yea,"Rep. Robert “Bobby” Scott [D, 1993-2022]",Democrat
400365,WI,5,Nay,"Rep. James Sensenbrenner Jr. [R, 2003-2020]",Republican
400366,NY,15,Not Voting,"Rep. José Serrano [D, 2013-2020]",Democrat
400371,CA,30,Yea,"Rep. Brad Sherman [D, 2013-2022]",Democrat
400373,IL,15,Not Voting,"Rep. John Shimkus [R, 2013-2020]",Republican
400376,ID,2,Nay,"Rep. Michael “Mike” Simpson [R, 1999-2022]",Republican
400379,WA,9,Yea,"Rep. Adam Smith [D, 1997-2022]",Democrat
400380,NJ,4,Nay,"Rep. Christopher “Chris” Smith [R, 1981-2022]",Republican
400402,MS,2,Yea,"Rep. Bennie Thompson [D, 1993-2022]",Democrat
400403,CA,5,Yea,"Rep. Mike Thompson [D, 2013-2022]",Democrat
400404,TX,13,Nay,"Rep. Mac Thornberry [R, 1995-2020]",Republican
400411,OH,10,Nay,"Rep. Michael Turner [R, 2013-2022]",Republican
400414,MI,6,Nay,"Rep. Fred Upton [R, 1993-2022]",Republican
400416,NY,7,Yea,"Rep. Nydia Velázquez [D, 2013-2022]",Democrat
400417,IN,1,Yea,"Rep. Peter Visclosky [D, 1985-2020]",Democrat
400419,OR,2,Nay,"Rep. Greg Walden [R, 1999-2020]",Republican
400422,CA,43,Yea,"Rep. Maxine Waters [D, 2013-2022]",Democrat
400433,SC,2,Nay,"Rep. Joe Wilson [R, 2001-2022]",Republican
400440,AK,0,Nay,"Rep. Don Young [R, 1973-2022]",Republican
400616,NC,1,Yea,"Rep. George “G.K.” Butterfield Jr. [D, 2004-2022]",Democrat
400618,CA,16,Yea,"Rep. Jim Costa [D, 2013-2022]",Democrat
400623,FL,23,Yea,"Rep. Debbie Wasserman Schultz [D, 2013-2022]",Democrat
400630,IL,3,Not Voting,"Rep. Daniel Lipinski [D, 2005-2020]",Democrat
400639,MO,5,Yea,"Rep. Emanuel Cleaver II [D, 2005-2022]",Democrat
400640,NE,1,Nay,"Rep. Jeff Fortenberry [R, 2005-2022]",Republican
400641,NY,26,Yea,"Rep. Brian Higgins [D, 2013-2022]",Democrat
400643,NC,5,Nay,"Rep. Virginia Foxx [R, 2005-2022]",Republican
400644,NC,10,Nay,"Rep. Patrick McHenry [R, 2005-2022]",Republican
400651,TX,1,Nay,"Rep. Louie Gohmert Jr. [R, 2005-2022]",Republican
400653,TX,9,Yea,"Rep. Al Green [D, 2005-2022]",Democrat
400654,TX,10,Nay,"Rep. Michael McCaul [R, 2005-2022]",Republican
400655,TX,11,Nay,"Rep. Michael Conaway [R, 2005-2020]",Republican
400656,TX,24,Not Voting,"Rep. Kenny Marchant [R, 2005-2020]",Republican
400657,TX,28,Yea,"Rep. Henry Cuellar [D, 2005-2022]",Democrat
400659,WA,5,Nay,"Rep. Cathy Rodgers [R, 2005-2022]",Republican
400661,WI,4,Yea,"Rep. Gwen Moore [D, 2005-2022]",Democrat
400663,CA,6,Yea,"Rep. Doris Matsui [D, 2013-2022]",Democrat
407672,MD,7,Yea,"Rep. Kweisi Mfume [D, 2020-2022]",Democrat
412186,NJ,8,Yea,"Rep. Albio Sires [D, 2013-2022]",Democrat
412189,CA,9,Yea,"Rep. Jerry McNerney [D, 2013-2022]",Democrat
412190,CA,23,Nay,"Rep. Kevin McCarthy [R, 2013-2022]",Republican
412191,CO,5,Nay,"Rep. Doug Lamborn [R, 2007-2022]",Republican
412192,CO,7,Yea,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat
412193,CT,2,Yea,"Rep. Joe Courtney [D, 2007-2022]",Democrat
412195,FL,14,Yea,"Rep. Kathy Castor [D, 2013-2022]",Democrat
412196,FL,16,Nay,"Rep. Vern Buchanan [R, 2013-2022]",Republican
412199,GA,4,Yea,"Rep. Henry “Hank” Johnson Jr. [D, 2007-2022]",Democrat
412209,IA,2,Yea,"Rep. David Loebsack [D, 2007-2020]",Democrat
