person,name,VoteAlong113thRatio,VoteAlong114thRatio,VoteAlong115thRatio,VoteAlong116thRatio
400008,"Rep. Robert “Rob” Andrews [D, 1990-2014]",,,,
400021,"Rep. Xavier Becerra [D, 2013-2017]",0.0,0.6666666666666666,,
400030,"Rep. Sanford Bishop Jr. [D, 1993-2022]",0.75,0.3333333333333333,0.6,1.0
400031,"Rep. Timothy Bishop [D, 2003-2014]",0.5,,,
400033,"Rep. Earl Blumenauer [D, 1996-2022]",0.0,0.3333333333333333,0.4,1.0
400047,"Rep. Robert Brady [D, 1998-2018]",0.5,0.3333333333333333,0.8,
400048,"Rep. Corrine Brown [D, 2013-2016]",0.5,0.6666666666666666,,
400062,"Rep. Lois Capps [D, 2013-2016]",0.25,0.0,,
400063,"Rep. Michael Capuano [D, 2013-2018]",0.25,0.3333333333333333,0.6,
400074,"Rep. Lacy Clay Jr. [D, 2001-2020]",0.5,0.3333333333333333,0.6,0.5
400075,"Rep. James “Jim” Clyburn [D, 1993-2022]",0.5,0.6666666666666666,0.6,1.0
400080,"Rep. John Conyers Jr. [D, 2013-2017]",0.0,0.3333333333333333,,
400081,"Rep. Jim Cooper [D, 2003-2022]",0.25,1.0,0.8,1.0
400087,"Rep. Joseph “Joe” Crowley [D, 2013-2018]",0.5,0.3333333333333333,0.4,
400090,"Rep. Elijah Cummings [D, 1996-2019]",0.25,0.3333333333333333,0.4,
400093,"Rep. Danny Davis [D, 1997-2022]",0.0,0.0,0.2,1.0
400097,"Rep. Susan Davis [D, 2003-2020]",0.5,0.3333333333333333,0.8,1.0
400100,"Rep. Peter DeFazio [D, 1987-2022]",0.0,0.3333333333333333,0.8,1.0
400101,"Rep. Diana DeGette [D, 1997-2022]",0.0,0.3333333333333333,0.6,1.0
400103,"Rep. Rosa DeLauro [D, 1991-2022]",0.0,0.3333333333333333,0.8,1.0
400110,"Rep. John Dingell [D, 2013-2014]",0.25,,,
400111,"Rep. Lloyd Doggett [D, 2013-2022]",0.0,0.3333333333333333,0.4,1.0
400114,"Rep. Michael Doyle [D, 2003-2018]",0.5,0.3333333333333333,0.8,
400122,"Rep. Eliot Engel [D, 2013-2020]",0.25,0.3333333333333333,0.4,1.0
400124,"Rep. Anna Eshoo [D, 2013-2022]",0.0,0.3333333333333333,0.8,1.0
400129,"Rep. Sam Farr [D, 2013-2016]",0.5,0.3333333333333333,,
400130,"Rep. Chaka Fattah [D, 1995-2016]",0.5,0.6666666666666666,,
400160,"Rep. Gene Green [D, 1993-2018]",0.5,0.6666666666666666,0.8,
400162,"Rep. Raúl Grijalva [D, 2013-2022]",0.0,0.3333333333333333,0.4,1.0
400163,"Rep. Luis Gutiérrez [D, 1993-2018]",0.0,0.3333333333333333,0.4,
400170,"Rep. Alcee Hastings [D, 2013-2022]",0.0,0.6666666666666666,0.8,1.0
400179,"Rep. Rubén Hinojosa [D, 1997-2016]",0.25,0.6666666666666666,,
400184,"Rep. Rush Holt [D, 1999-2014]",0.0,,,
400185,"Rep. Michael “Mike” Honda [D, 2013-2016]",0.25,0.3333333333333333,,
400189,"Rep. Steny Hoyer [D, 1981-2022]",0.5,0.6666666666666666,0.6,1.0
400195,"Rep. Steve Israel [D, 2013-2016]",0.25,0.3333333333333333,,
400199,"Rep. Sheila Jackson Lee [D, 1995-2022]",0.25,0.3333333333333333,0.6,1.0
400204,"Rep. Eddie Johnson [D, 1993-2022]",0.25,0.3333333333333333,0.8,0.5
400211,"Rep. Marcy Kaptur [D, 1983-2022]",0.5,0.3333333333333333,0.8,1.0
400218,"Rep. Ron Kind [D, 1997-2022]",0.5,0.3333333333333333,0.2,1.0
400230,"Rep. James “Jim” Langevin [D, 2001-2022]",0.25,0.3333333333333333,0.8,1.0
400232,"Rep. Rick Larsen [D, 2001-2022]",0.25,0.3333333333333333,0.8,1.0
400233,"Rep. John Larson [D, 1999-2022]",0.25,0.3333333333333333,0.8,1.0
400237,"Rep. Barbara Lee [D, 2013-2022]",0.0,0.3333333333333333,0.6,1.0
400238,"Rep. Sander Levin [D, 2013-2018]",0.25,0.3333333333333333,0.8,
400240,"Rep. John Lewis [D, 1987-2020]",0.0,0.3333333333333333,0.6,0.5
400245,"Rep. Zoe Lofgren [D, 2013-2022]",0.0,0.3333333333333333,0.4,0.5
400246,"Rep. Nita Lowey [D, 2013-2020]",0.5,0.3333333333333333,0.8,1.0
400249,"Rep. Stephen Lynch [D, 2013-2022]",0.25,0.3333333333333333,0.8,1.0
