person,name_x,party_x,VoteAlong113thRatio,VoteAlong114thRatio,VoteAlong115thRatio,VoteAlong116thRatio,party_short,Last_name,Suffix,LastName,ID_NameParty,Pure_name,FirstName,first,last,party_y,donations2012,donations2014,donations2016,donations2018,pageid,wikidataid,wikititle,name_y,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
400008,"Rep. Robert “Rob” Andrews [D, 1990-2014]",,,,,,N, Robert “Rob” Andrews ,Andrews,Andrews,RobertAndrewsN, Robert “Rob” Andrews ,Robert,,,,,,,,,,,,,,,,,,,,,,,
400021,"Rep. Xavier Becerra [D, 2013-2017]",Democrat,0.0,0.6666666666666666,,,D, Xavier Becerra ,Becerra,Becerra,XavierBecerraD, Xavier Becerra ,Xavier,,,,,,,,,,,,,,,,,,,,,,,
400030,"Rep. Sanford Bishop Jr. [D, 1993-2022]",Democrat,0.75,0.3333333333333333,0.6,1.0,D, Sanford Bishop  ,Bishop,Bishop,SanfordBishopD, Sanford Bishop  ,Sanford,,,,,,,,,,,,,,,,,,,,,,,
400031,"Rep. Timothy Bishop [D, 2003-2014]",Democrat,0.5,,,,D, Timothy Bishop ,Bishop,Bishop,TimothyBishopD, Timothy Bishop ,Timothy,,,,,,,,,,,,,,,,,,,,,,,
400033,"Rep. Earl Blumenauer [D, 1996-2022]",Democrat,0.0,0.3333333333333333,0.4,1.0,D, Earl Blumenauer ,Blumenauer,Blumenauer,EarlBlumenauerD, Earl Blumenauer ,Earl,Earl,Blumenauer,D,0.0,0.0,0.0,1000.0,699496.0,Q748066,Earl_Blumenauer,Earl Blumenauer,male,white,,1948-08-16,,"45.51667,-122.66667",,4.0,True,True,True,True
400047,"Rep. Robert Brady [D, 1998-2018]",Democrat,0.5,0.3333333333333333,0.8,,D, Robert Brady ,Brady,Brady,RobertBradyD, Robert Brady ,Robert,,,,,,,,,,,,,,,,,,,,,,,
400048,"Rep. Corrine Brown [D, 2013-2016]",Democrat,0.5,0.6666666666666666,,,D, Corrine Brown ,Brown,Brown,CorrineBrownD, Corrine Brown ,Corrine,,,,,,,,,,,,,,,,,,,,,,,
400062,"Rep. Lois Capps [D, 2013-2016]",Democrat,0.25,0.0,,,D, Lois Capps ,Capps,Capps,LoisCappsD, Lois Capps ,Lois,,,,,,,,,,,,,,,,,,,,,,,
400063,"Rep. Michael Capuano [D, 2013-2018]",Democrat,0.25,0.3333333333333333,0.6,,D, Michael Capuano ,Capuano,Capuano,MichaelCapuanoD, Michael Capuano ,Michael,,,,,,,,,,,,,,,,,,,,,,,
400074,"Rep. Lacy Clay Jr. [D, 2001-2020]",Democrat,0.5,0.3333333333333333,0.6,0.5,D, Lacy Clay  ,Clay,Clay,LacyClayD, Lacy Clay  ,Lacy,,,,,,,,,,,,,,,,,,,,,,,
