pageid,party,wikidataid,wikititle,name,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
25016198,R,Q4954892,Bradley_Byrne,Bradley Byrne,male,white,,1955-02-16,,"30.72767,-88.05267",,4,True,True,True,True
29218153,R,Q439117,Martha_Roby,Martha Roby,female,white,,1976-07-26,,"32.36167,-86.27917",,4,True,True,True,True
407888,R,Q693238,Mike_Rogers_(Alabama_politician),Mike D. Rogers,male,white,protestantism baptist,1958-07-16,,"41.6111,-87.4931",,4,True,True,True,True
407889,R,Q672671,Robert_Aderholt,Robert Aderholt,male,white,protestantism methodist,1965-07-22,,"34.23013,-87.61898",,4,True,True,True,True
27586834,R,Q1941306,Mo_Brooks,Mo Brooks,male,white,,1954-04-29,,"32.77611,-79.9325",,4,True,True,True,True
22136277,D,Q461621,Terri_Sewell,Terri Sewell,female,black,,1965-01-01,,"34.71361,-86.58611",,4,True,True,True,True
407894,R,Q1239590,Don_Young,Don Young,male,white,anglicanism,1933-06-09,,"39.14056,-121.90778",,4,True,True,True,True
10896845,D,Q558460,Ann_Kirkpatrick,Ann Kirkpatrick,female,white,,1950-03-24,,"35.19917,-111.63111",,3,True,True,,True
408529,D,Q946606,Raúl_Grijalva,Raúl M. Grijalva,male,hispanic,catholicism,1948-02-19,,"32.22167,-110.92639",,4,True,True,True,True
28573666,R,Q2059832,Paul_Gosar,Paul Gosar,male,white,,1958-11-27,,"41.585,-109.22139",,4,True,True,True,True
1024530,R,Q1909268,Matt_Salmon,Matt Salmon,male,white,protestantism restorationism,1958-01-21,,"40.75,-111.88333",,2,True,True,,
16166136,R,Q1176561,David_Schweikert,David Schweikert,male,white,,1962-03-03,,"34.05,-118.25",,4,True,True,True,True
407918,R,Q1397303,Trent_Franks,Trent Franks,male,white,protestantism baptist,1957-06-19,,"38.36833,-108.73639",,3,True,True,True,
16084037,D,Q1556541,Kyrsten_Sinema,Kyrsten Sinema,female,white,atheism,1976-07-12,,"32.22167,-110.92639",,3,True,True,True,
28573959,R,Q2151554,Rick_Crawford_(politician),Rick Crawford,male,white,,1966-01-22,,"25.46872,-80.47756",,4,True,True,True,True
28033707,R,Q1029527,Steve_Womack,Steve Womack,male,white,,1957-02-18,,"35.2783,-93.1369",,4,True,True,True,True
9434506,R,Q1703840,Doug_LaMalfa,Doug LaMalfa,male,white,,1960-07-02,,"39.51389,-121.3925",,4,True,True,True,True
7432015,D,Q3276717,Jared_Huffman,Jared Huffman,male,white,,1964-02-18,,"39.08333,-94.41667",,4,True,True,True,True
1602620,D,Q1340268,John_Garamendi,John Garamendi,male,hispanic,,1945-01-24,,"29.9519,-81.9799",,4,True,True,True,True
295706,R,Q535887,Tom_McClintock,Tom McClintock,male,white,,1956-07-10,,"40.94,-73.82611",,4,True,True,True,True
