first,last,party,donations2012,donations2014,donations2016,donations2018
Elizabeth,Esty,D,5250.0,5200.0,0.0,0.0
Kathryn,Boockvar,D,5000.0,0.0,0.0,0.0
Nita,Lowey,D,5000.0,2600.0,10800.0,18100.0
Richard,Becker,D,5000.0,0.0,0.0,0.0
Steve,Israel,D,5000.0,0.0,0.0,0.0
Ron,Paul,R,3400.0,0.0,0.0,0.0
Tarryl,Clark,D,2500.0,0.0,0.0,0.0
Rob,Zerban,D,2500.0,0.0,0.0,0.0
Scott,Garrett,R,2500.0,500.0,225.0,0.0
Hakeem,Jeffries,D,2000.0,0.0,0.0,0.0
Joe,Kennedy,D,1050.0,2500.0,5400.0,9400.0
John,Douglass,D,1000.0,0.0,0.0,0.0
Sean,Maloney,D,750.0,2000.0,21600.0,16500.0
Grace,Meng,D,500.0,0.0,0.0,0.0
David,Cicilline,D,500.0,0.0,0.0,0.0
Rush,Holt,D,500.0,0.0,0.0,0.0
Randall,Terry,Independent,500.0,0.0,0.0,0.0
Patsy,Keever,D,500.0,0.0,0.0,0.0
Mike,Clark,R,500.0,0.0,0.0,0.0
Hayden,Rogers,D,250.0,0.0,0.0,0.0
Gary,Peters,D,0.0,14400.0,0.0,0.0
Domenic,Recchia,D,0.0,5700.0,0.0,0.0
Seth,Moulton,D,0.0,5200.0,10500.0,5400.0
Joseph,Crowley,D,0.0,5200.0,6610.0,6785.0
Kathleen,Rice,D,0.0,5200.0,0.0,2700.0
Sean,Eldridge,D,0.0,4400.0,0.0,0.0
Roy,Cho,D,0.0,2800.0,0.0,0.0
Ted,Deutch,D,0.0,2600.0,0.0,0.0
Marjorie,Margolies,D,0.0,2600.0,0.0,0.0
Brad,Ashford,D,0.0,2600.0,0.0,0.0
Jim,Mowrer,D,0.0,1500.0,0.0,0.0
Elizabeth,Busch,D,0.0,1000.0,0.0,0.0
Jerrold,Nadler,D,0.0,1000.0,2000.0,1000.0
Jim,Himes,D,0.0,1000.0,0.0,0.0
Ann,Kuster,D,0.0,1000.0,0.0,396.0
Matthew,Miller,D,0.0,1000.0,0.0,0.0
Dan,Maffei,D,0.0,500.0,0.0,0.0
Steve,Lonegan,R,0.0,450.0,0.0,0.0
Frank,Roche,R,0.0,400.0,0.0,0.0
Heidi,Hall,D,0.0,300.0,0.0,0.0
John,Boehner,R,0.0,250.0,0.0,0.0
Nan,Hayworth,R,0.0,250.0,0.0,0.0
Anna,Throne-Holst,D,0.0,0.0,27000.0,0.0
Josh,Gottheimer,D,0.0,0.0,12207.0,13225.0
Andrew,Heaney,R,0.0,0.0,5925.0,-13500.0
Hollen,Van,D,0.0,0.0,5700.0,0.0
Pete,King,R,0.0,0.0,5400.0,250.0
Dan,Donovan,R,0.0,0.0,5400.0,21600.0
Brady,Walkinshaw,D,0.0,0.0,1150.0,0.0
Ann,Kirkpatrick,D,0.0,0.0,1132.0,6757.0
Mike,Derrick,D,0.0,0.0,1000.0,0.0
Monica,Vernon,D,0.0,0.0,1000.0,0.0
Tom,Nelson,D,0.0,0.0,754.0,0.0
Gerry,Connolly,D,0.0,0.0,751.0,6.0
Debbie,Schultz,D,0.0,0.0,550.0,500.0
Carolyn,Maloney,D,0.0,0.0,500.0,1334.0
Keith,Wright,D,0.0,0.0,500.0,0.0
Tammy,Duckworth,D,0.0,0.0,500.0,0.0
Clyde,Williams,D,0.0,0.0,500.0,0.0
David,Larsen,R,0.0,0.0,400.0,0.0
Gordon,Christensen,D,0.0,0.0,250.0,0.0
Kathleen,Matthews,D,0.0,0.0,250.0,0.0
Nancy,Pelosi,D,0.0,0.0,200.0,0.0
