first,last,party,donations2012,donations2014,donations2016,donations2018
Jim,Himes,D,15000.0,10400.0,5400.0,5400.0
Bob,Dold,R,15000.0,11800.0,13750.0,0.0
Christopher,Murphy,D,13500.0,0.0,0.0,0.0
Tom,Cotton,R,5000.0,35050.0,0.0,0.0
Judy,Biggert,R,5000.0,0.0,0.0,0.0
Eric,Cantor,R,5000.0,2600.0,0.0,0.0
Paul,Ryan,R,5000.0,0.0,27200.0,5400.0
Sean,Duffy,R,4700.0,1500.0,5400.0,5400.0
Rick,Berg,R,3500.0,0.0,0.0,0.0
Denny,Rehberg,R,3500.0,0.0,0.0,0.0
Adam,Kinzinger,R,3000.0,4600.0,7400.0,1000.0
Ro,Khanna,D,2500.0,500.0,0.0,3700.0
Elizabeth,Esty,D,2500.0,5200.0,5400.0,0.0
Robert,Hurt,R,2500.0,0.0,0.0,0.0
Matt,Doheny,R,2000.0,0.0,0.0,0.0
Steny,Hoyer,D,2000.0,0.0,0.0,0.0
Taj,Clayton,D,1750.0,0.0,0.0,0.0
Tammy,Baldwin,D,1000.0,0.0,0.0,0.0
Brad,Schneider,D,1000.0,250.0,0.0,0.0
Spencer,Bachus,R,1000.0,0.0,0.0,0.0
Andre,Carson,D,1000.0,0.0,0.0,0.0
Mike,Quigley,D,1000.0,1000.0,0.0,0.0
Nan,Hayworth,R,1000.0,1000.0,0.0,0.0
Ilario,Pantano,R,500.0,0.0,0.0,0.0
Keith,Ellison,D,500.0,0.0,0.0,0.0
Carolyn,Maloney,D,500.0,0.0,0.0,1100.0
Nathan,Shinagawa,D,250.0,0.0,0.0,0.0
Steven,Daines,R,0.0,10100.0,0.0,0.0
Bill,Cassidy,R,0.0,7800.0,0.0,0.0
Jim,Gerlach,R,0.0,6000.0,0.0,0.0
Elise,Stefanik,R,0.0,5700.0,5650.0,2700.0
Martha,McSally,R,0.0,5200.0,5400.0,2700.0
Cory,Gardner,R,0.0,5200.0,0.0,0.0
Steve,Stivers,R,0.0,4600.0,0.0,0.0
Darlene,Senger,R,0.0,2600.0,0.0,0.0
Matt,McCall,R,0.0,2600.0,2600.0,0.0
John,Shimkus,R,0.0,2600.0,2700.0,0.0
Rodney,Davis,R,0.0,2600.0,2700.0,5400.0
Bruce,Westerman,R,0.0,2600.0,0.0,0.0
John,Boehner,R,0.0,2600.0,2500.0,0.0
Randy,Hultgren,R,0.0,2600.0,10800.0,5400.0
Mike,Bost,R,0.0,2600.0,5400.0,8100.0
Barbara,Comstock,R,0.0,2600.0,5400.0,2700.0
Peter,Roskam,R,0.0,2600.0,17000.0,25300.0
Aaron,Schock,R,0.0,2600.0,0.0,0.0
Shelley,Capito,R,0.0,1500.0,0.0,0.0
Clay,Aiken,D,0.0,500.0,0.0,0.0
Patrick,McHenry,R,0.0,0.0,8100.0,5400.0
Ryan,Costello,R,0.0,0.0,7400.0,0.0
Steve,Scalise,R,0.0,0.0,6400.0,5400.0
Kevin,McCarthy,R,0.0,0.0,5400.0,5400.0
Frank,Guinta,R,0.0,0.0,5400.0,0.0
Kevin,Yoder,R,0.0,0.0,5400.0,5400.0
Jaime,Beutler,R,0.0,0.0,5400.0,0.0
Liz,Cheney,R,0.0,0.0,5400.0,0.0
Fred,Upton,R,0.0,0.0,5400.0,0.0
Carlos,Curbelo,R,0.0,0.0,5400.0,2700.0
Joe,Heck,R,0.0,0.0,5400.0,0.0
Mike,Gallagher,R,0.0,0.0,5400.0,5400.0
Scott,Garrett,R,0.0,0.0,5400.0,0.0
Ileana,Ros-Lehtinen,R,0.0,0.0,5400.0,0.0
Tim,Walberg,R,0.0,0.0,5400.0,0.0
Dave,Reichert,R,0.0,0.0,5400.0,0.0
Scott,Tipton,R,0.0,0.0,5400.0,0.0
Lee,Zeldin,R,0.0,0.0,5400.0,0.0
Dave,Trott,R,0.0,0.0,5400.0,0.0
Mike,Bishop,R,0.0,0.0,5400.0,0.0
Dan,Donovan,R,0.0,0.0,5400.0,0.0
Erik,Paulsen,R,0.0,0.0,5400.0,0.0
Ron,DeSantis,R,0.0,0.0,5400.0,0.0
Darin,LaHood,R,0.0,0.0,5400.0,0.0
John,Faso,R,0.0,0.0,5400.0,2700.0
Tom,Reed,R,0.0,0.0,5400.0,0.0
Mike,Coffman,R,0.0,0.0,5400.0,2700.0
Brady,Walkinshaw,D,0.0,0.0,5400.0,0.0
Todd,Young,R,0.0,0.0,5400.0,0.0
David,Jolly,R,0.0,0.0,5400.0,0.0
Bruce,Poliquin,R,0.0,0.0,2700.0,0.0
Michael,Turner,R,0.0,0.0,2700.0,0.0
Charlie,Dent,R,0.0,0.0,2700.0,0.0
David,Valadao,R,0.0,0.0,2700.0,0.0
John,Moolenaar,R,0.0,0.0,2700.0,0.0
Alex,Mooney,R,0.0,0.0,2700.0,0.0
David,Joyce,R,0.0,0.0,2700.0,0.0
John,Katko,R,0.0,0.0,2700.0,2700.0
Kirk,Bangstad,D,0.0,0.0,2700.0,0.0
John,Mica,R,0.0,0.0,2700.0,0.0
Patrick,Meehan,R,0.0,0.0,2700.0,0.0
Mia,Love,R,0.0,0.0,2700.0,0.0
Thomas,MacArthur,R,0.0,0.0,2700.0,5400.0
Glenn,Grothman,R,0.0,0.0,2700.0,0.0
Will,Hurd,R,0.0,0.0,2700.0,2700.0
Stewart,Mills,R,0.0,0.0,2700.0,0.0
Cresent,Hardy,R,0.0,0.0,2700.0,0.0
Donald,Bacon,R,0.0,0.0,2700.0,2700.0
Darlene,Miller,R,0.0,0.0,2700.0,0.0
Jackie,Walorski,R,0.0,0.0,2700.0,0.0
David,Young,R,0.0,0.0,2700.0,0.0
Tonia,Khouri,R,0.0,0.0,2700.0,0.0
Scott,Jones,R,0.0,0.0,2700.0,0.0
Jeff,Denham,R,0.0,0.0,2700.0,0.0
Tom,Garrett,R,0.0,0.0,2700.0,0.0
Rod,Blum,R,0.0,0.0,2700.0,0.0
Steve,Knight,R,0.0,0.0,2700.0,0.0
Brian,Fitzpatrick,R,0.0,0.0,2450.0,0.0
Raja,Krishnamoorthi,D,0.0,0.0,1250.0,5400.0
Josh,Gottheimer,D,0.0,0.0,1000.0,0.0
Janet,Garrett,D,0.0,0.0,1000.0,0.0
Tim,Canova,D,0.0,0.0,1000.0,0.0
Brian,Mast,R,0.0,0.0,500.0,2700.0
Tammy,Duckworth,D,0.0,0.0,405.0,0.0
Lon,Johnson,D,0.0,0.0,250.0,0.0
Denise,Juneau,D,0.0,0.0,15.0,0.0
Douglas,Applegate,D,0.0,0.0,10.0,0.0
Jay,Sidie,D,0.0,0.0,5.0,0.0
Christina,Hartman,D,0.0,0.0,3.0,0.0
Antonio,Delgado,D,0.0,0.0,0.0,8100.0
Ashley,Lunkenheimer,D,0.0,0.0,0.0,5900.0
Elissa,Slotkin,D,0.0,0.0,0.0,5474.0
Elaine,Luria,D,0.0,0.0,0.0,5455.0
