first,last,party,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,pageid,wikidataid,wikititle,name,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
Nita,Lowey,D,5000.0,2600.0,10800.0,18100.0,5000.0,2600.0,10800.0,18100.0,963528.0,Q460652,Nita_Lowey,Nita M. Lowey,female,white,judaism,1937-07-05,,"40.67,-73.94",,4.0,True,True,True,True
Hakeem,Jeffries,D,2000.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,7358729.0,Q5640425,Hakeem_Jeffries,Hakeem Jeffries,male,black,,1970-08-04,,"40.69278,-73.99028",,4.0,True,True,True,True
Sean,Maloney,D,750.0,2000.0,21600.0,16500.0,750.0,2000.0,21600.0,16500.0,3908693.0,Q2262244,Sean_Patrick_Maloney,Sean Patrick Maloney,male,white,,1966-07-30,,"45.4,-71.9",,4.0,True,True,True,True
Grace,Meng,D,500.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,19309394.0,Q5591303,Grace_Meng,Grace Meng,female,asian,,1975-10-01,,"40.70417,-73.91778",,4.0,True,True,True,True
David,Cicilline,D,500.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,1330350.0,Q938498,David_Cicilline,David Cicilline,male,white,,1961-07-15,,"41.83083,-71.415",,4.0,True,True,True,True
Ted,Deutch,D,0.0,2600.0,0.0,0.0,0.0,2600.0,0.0,0.0,13719052.0,Q245724,Ted_Deutch,Ted Deutch,male,white,,1966-05-07,,"40.62611,-75.37556",,4.0,True,True,True,True
Jerrold,Nadler,D,0.0,1000.0,2000.0,1000.0,0.0,1000.0,2000.0,1000.0,960332.0,Q505598,Jerrold_Nadler,Jerrold Nadler,male,white,judaism,1947-06-13,,"40.69278,-73.99028",,4.0,True,True,True,True
Jim,Himes,D,0.0,1000.0,0.0,0.0,0.0,1000.0,0.0,0.0,16126047.0,Q1689111,Jim_Himes,Jim Himes,male,white,,1966-07-05,,"-12.05,-77.03333",,4.0,True,True,True,True
Ann,Kuster,D,0.0,1000.0,0.0,396.0,0.0,1000.0,0.0,396.0,23101972.0,Q3917208,Ann_McLane_Kuster,Ann McLane Kuster,female,white,,1956-09-05,,"43.20667,-71.53806",,4.0,True,True,True,True
Gerry,Connolly,D,0.0,0.0,751.0,6.0,0.0,0.0,751.0,6.0,18476935.0,Q1514859,Gerry_Connolly,Gerry Connolly,male,white,,1950-03-30,,"42.35778,-71.06167",,4.0,True,True,True,True
