pageid,party_x,wikidataid,wikititle,name,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,first,last,ID_NameParty,party_y,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,party,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018
25016198,R,Q4954892,Bradley_Byrne,Bradley Byrne,male,white,,1955-02-16,,"30.72767,-88.05267",,4,True,True,True,True,Bradley,Byrne,BradleyByrneR,,,,,,,,,,
29218153,R,Q439117,Martha_Roby,Martha Roby,female,white,,1976-07-26,,"32.36167,-86.27917",,4,True,True,True,True,Martha,Roby,MarthaRobyR,,,,,,,,,,
407888,R,Q693238,Mike_Rogers_(Alabama_politician),Mike D. Rogers,male,white,protestantism baptist,1958-07-16,,"41.6111,-87.4931",,4,True,True,True,True,Mike,Rogers,MikeRogersR,,,,,,,,,,
407889,R,Q672671,Robert_Aderholt,Robert Aderholt,male,white,protestantism methodist,1965-07-22,,"34.23013,-87.61898",,4,True,True,True,True,Robert,Aderholt,RobertAderholtR,,,,,,,,,,
27586834,R,Q1941306,Mo_Brooks,Mo Brooks,male,white,,1954-04-29,,"32.77611,-79.9325",,4,True,True,True,True,Mo,Brooks,MoBrooksR,,,,,,,,,,
22136277,D,Q461621,Terri_Sewell,Terri Sewell,female,black,,1965-01-01,,"34.71361,-86.58611",,4,True,True,True,True,Terri,Sewell,TerriSewellD,,,,,,,,,,
407894,R,Q1239590,Don_Young,Don Young,male,white,anglicanism,1933-06-09,,"39.14056,-121.90778",,4,True,True,True,True,Don,Young,DonYoungR,,,,,,,,,,
408529,D,Q946606,Raúl_Grijalva,Raúl M. Grijalva,male,hispanic,catholicism,1948-02-19,,"32.22167,-110.92639",,4,True,True,True,True,Raúl,Grijalva,RaúlGrijalvaD,,,,,,,,,,
28573666,R,Q2059832,Paul_Gosar,Paul Gosar,male,white,,1958-11-27,,"41.585,-109.22139",,4,True,True,True,True,Paul,Gosar,PaulGosarR,,,,,,,,,,
16166136,R,Q1176561,David_Schweikert,David Schweikert,male,white,,1962-03-03,,"34.05,-118.25",,4,True,True,True,True,David,Schweikert,DavidSchweikertR,,,,,,,,,,
28573959,R,Q2151554,Rick_Crawford_(politician),Rick Crawford,male,white,,1966-01-22,,"25.46872,-80.47756",,4,True,True,True,True,Rick,Crawford,RickCrawfordR,,,,,,,,,,
28033707,R,Q1029527,Steve_Womack,Steve Womack,male,white,,1957-02-18,,"35.2783,-93.1369",,4,True,True,True,True,Steve,Womack,SteveWomackR,,,,,,,,,,
9434506,R,Q1703840,Doug_LaMalfa,Doug LaMalfa,male,white,,1960-07-02,,"39.51389,-121.3925",,4,True,True,True,True,Doug,LaMalfa,DougLaMalfaR,,,,,,,,,,
7432015,D,Q3276717,Jared_Huffman,Jared Huffman,male,white,,1964-02-18,,"39.08333,-94.41667",,4,True,True,True,True,Jared,Huffman,JaredHuffmanD,,,,,,,,,,
1602620,D,Q1340268,John_Garamendi,John Garamendi,male,hispanic,,1945-01-24,,"29.9519,-81.9799",,4,True,True,True,True,John,Garamendi,JohnGaramendiD,,,,,,,,,,
295706,R,Q535887,Tom_McClintock,Tom McClintock,male,white,,1956-07-10,,"40.94,-73.82611",,4,True,True,True,True,Tom,McClintock,TomMcClintockR,,,,,,,,,,
