person_x,name,VoteAlong113thRatio_FS_IIR,VoteAlong114thRatio_FS_IIR,VoteAlong115thRatio_FS_IIR,VoteAlong116thRatio_FS_IIR,VoteAlong113thRatio_FS_FSS,VoteAlong114thRatio_FS_FSS,VoteAlong115thRatio_FS_FSS,VoteAlong116thRatio_FS_FSS,VoteAlong113thRatio_FS_CM,VoteAlong114thRatio_FS_CM,VoteAlong115thRatio_FS_CM,VoteAlong116thRatio_FS_CM,VoteAlong113thRatio_FS_REB,VoteAlong114thRatio_FS_REB,VoteAlong115thRatio_FS_REB,VoteAlong116thRatio_FS_REB,party_short,Pure_name,LastName,FirstName,ID_NameParty,first,last,party_x,pageid,wikidataid,wikititle,name_y,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,disney_donations2012,disney_donations2014,disney_donations2016,disney_donations2018,person_y,party_y,VoteAlong113thRatio_Film,VoteAlong114thRatio_Film,VoteAlong115thRatio_Film,VoteAlong116thRatio_Film
400008,"Rep. Robert “Rob” Andrews [D, 1990-2014]",,,,,,,,,,,,1.0,,,,,D, Robert “Rob” Andrews ,Andrews,Robert,RobertAndrewsD,,,,,,,,,,,,,,,,,,,,,,,,400008.0,,,,,
400021,"Rep. Xavier Becerra [D, 2013-2017]",0.3333333333333333,0.6,,,0.3333333333333333,0.0,,,0.5714285714285714,0.2,,1.0,0.6666666666666666,0.0,,,D, Xavier Becerra ,Becerra,Xavier,XavierBecerraD,,,,,,,,,,,,,,,,,,,,,,,,400021.0,Democrat,0.0,0.6666666666666666,,
400030,"Rep. Sanford Bishop Jr. [D, 1993-2022]",0.5,0.8,0.42857142857142855,1.0,0.6666666666666666,0.3333333333333333,0.5555555555555556,1.0,0.7142857142857143,0.8,0.25,1.0,0.6666666666666666,0.75,0.0,1.0,D, Sanford Bishop  ,Bishop,Sanford,SanfordBishopD,,,,,,,,,,,,,,,,,,,,,,,,400030.0,Democrat,0.75,0.3333333333333333,0.6,1.0
400031,"Rep. Timothy Bishop [D, 2003-2014]",0.5,,,,0.6666666666666666,,,,0.7142857142857143,,,1.0,0.6666666666666666,,,,D, Timothy Bishop ,Bishop,Timothy,TimothyBishopD,,,,,,,,,,,,,,,,,,,,,,,,400031.0,Democrat,0.5,,,
400033,"Rep. Earl Blumenauer [D, 1996-2022]",0.3333333333333333,0.8,0.42857142857142855,1.0,0.3333333333333333,0.3333333333333333,0.2222222222222222,1.0,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.5,0.0,1.0,D, Earl Blumenauer ,Blumenauer,Earl,EarlBlumenauerD,Earl,Blumenauer,D,699496.0,Q748066,Earl_Blumenauer,Earl Blumenauer,male,white,,1948-08-16,,"45.51667,-122.66667",,4.0,True,True,True,True,0.0,0.0,0.0,1000.0,400033.0,Democrat,0.0,0.3333333333333333,0.4,1.0
400047,"Rep. Robert Brady [D, 1998-2018]",0.3333333333333333,0.8,0.2857142857142857,,0.6666666666666666,0.3333333333333333,,,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.5,0.3333333333333333,,D, Robert Brady ,Brady,Robert,RobertBradyD,,,,,,,,,,,,,,,,,,,,,,,,400047.0,Democrat,0.5,0.3333333333333333,0.8,
400048,"Rep. Corrine Brown [D, 2013-2016]",0.5,0.8,,,0.3333333333333333,0.3333333333333333,,,0.7142857142857143,0.4,,1.0,0.6666666666666666,0.25,,,D, Corrine Brown ,Brown,Corrine,CorrineBrownD,,,,,,,,,,,,,,,,,,,,,,,,400048.0,Democrat,0.5,0.6666666666666666,,
400062,"Rep. Lois Capps [D, 2013-2016]",0.3333333333333333,0.8,,,0.3333333333333333,0.3333333333333333,,,0.5714285714285714,0.4,,1.0,0.6666666666666666,0.25,,,D, Lois Capps ,Capps,Lois,LoisCappsD,,,,,,,,,,,,,,,,,,,,,,,,400062.0,Democrat,0.25,0.0,,
400063,"Rep. Michael Capuano [D, 2013-2018]",0.3333333333333333,0.8,0.2857142857142857,,0.3333333333333333,0.3333333333333333,,,0.42857142857142855,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,,D, Michael Capuano ,Capuano,Michael,MichaelCapuanoD,,,,,,,,,,,,,,,,,,,,,,,,400063.0,Democrat,0.25,0.3333333333333333,0.6,
400074,"Rep. Lacy Clay Jr. [D, 2001-2020]",0.3333333333333333,0.8,0.42857142857142855,1.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.5,0.0,1.0,D, Lacy Clay  ,Clay,Lacy,LacyClayD,,,,,,,,,,,,,,,,,,,,,,,,400074.0,Democrat,0.5,0.3333333333333333,0.6,0.5
