level_0,index,person,Year,wikidataid,sex,last,person_y,FirstName,first,death,Number_Sessions_Served,party_short,person_x,party_x,ethnicity,Session_114,name,birth,party_y,deathplace,Session_116,ID_NameParty,Session_113,LastName,pageid,Session_115,wikititle,Pure_name,name_y,religion,birthplace,disney_donations,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,disney_donations_lagMinus1,disney_donations_lagPlus1
0,0,4,2012,Q748066,male,Blumenauer,400033.0,Earl,Earl,0.0,4.0,D,400033,D,white,True,"Rep. Earl Blumenauer [D, 1996-2022]",1948-08-16,Democrat,0.0,True,EarlBlumenauerD,True,Blumenauer,699496.0,True,Earl_Blumenauer, Earl Blumenauer ,Earl Blumenauer,0,"45.51667,-122.66667",0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,
229,229,4,2014,Q748066,male,Blumenauer,400033.0,Earl,Earl,0.0,4.0,D,400033,D,white,True,"Rep. Earl Blumenauer [D, 1996-2022]",1948-08-16,Democrat,0.0,True,EarlBlumenauerD,True,Blumenauer,699496.0,True,Earl_Blumenauer, Earl Blumenauer ,Earl Blumenauer,0,"45.51667,-122.66667",0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0.0,0.0
458,458,4,2016,Q748066,male,Blumenauer,400033.0,Earl,Earl,0.0,4.0,D,400033,D,white,True,"Rep. Earl Blumenauer [D, 1996-2022]",1948-08-16,Democrat,0.0,True,EarlBlumenauerD,True,Blumenauer,699496.0,True,Earl_Blumenauer, Earl Blumenauer ,Earl Blumenauer,0,"45.51667,-122.66667",0.0,0.4,0.42857142857142855,0.2222222222222222,0.0,0.0,1000.0,0.0
687,687,4,2018,Q748066,male,Blumenauer,400033.0,Earl,Earl,0.0,4.0,D,400033,D,white,True,"Rep. Earl Blumenauer [D, 1996-2022]",1948-08-16,Democrat,0.0,True,EarlBlumenauerD,True,Blumenauer,699496.0,True,Earl_Blumenauer, Earl Blumenauer ,Earl Blumenauer,0,"45.51667,-122.66667",1000.0,1.0,1.0,1.0,1.0,1.0,,0.0
1,1,10,2012,Q1289889,male,Clyburn,400075.0,James,James,0.0,4.0,D,400075,D,black,True,"Rep. James “Jim” Clyburn [D, 1993-2022]",1940-07-21,Democrat,0.0,True,JamesClyburnD,True,Clyburn,784733.0,True,Jim_Clyburn, James “Jim” Clyburn ,James E. Clyburn,protestantism methodist,"33.92056,-80.34472",0.0,0.5,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,2000.0,
230,230,10,2014,Q1289889,male,Clyburn,400075.0,James,James,0.0,4.0,D,400075,D,black,True,"Rep. James “Jim” Clyburn [D, 1993-2022]",1940-07-21,Democrat,0.0,True,JamesClyburnD,True,Clyburn,784733.0,True,Jim_Clyburn, James “Jim” Clyburn ,James E. Clyburn,protestantism methodist,"33.92056,-80.34472",2000.0,0.6666666666666666,0.8,0.3333333333333333,0.4,0.5,2000.0,0.0
459,459,10,2016,Q1289889,male,Clyburn,400075.0,James,James,0.0,4.0,D,400075,D,black,True,"Rep. James “Jim” Clyburn [D, 1993-2022]",1940-07-21,Democrat,0.0,True,JamesClyburnD,True,Clyburn,784733.0,True,Jim_Clyburn, James “Jim” Clyburn ,James E. Clyburn,protestantism methodist,"33.92056,-80.34472",2000.0,0.6,0.2857142857142857,0.4444444444444444,0.25,0.3333333333333333,1000.0,2000.0
688,688,10,2018,Q1289889,male,Clyburn,400075.0,James,James,0.0,4.0,D,400075,D,black,True,"Rep. James “Jim” Clyburn [D, 1993-2022]",1940-07-21,Democrat,0.0,True,JamesClyburnD,True,Clyburn,784733.0,True,Jim_Clyburn, James “Jim” Clyburn ,James E. Clyburn,protestantism methodist,"33.92056,-80.34472",1000.0,1.0,1.0,1.0,1.0,0.6666666666666666,,2000.0
2,2,13,2012,Q973737,male,Cooper,400081.0,Jim,Jim,0.0,4.0,D,400081,D,white,True,"Rep. Jim Cooper [D, 2003-2022]",1954-06-19,Democrat,0.0,True,JimCooperD,True,Cooper,960988.0,True,Jim_Cooper, Jim Cooper ,Jim Cooper,anglicanism,"36.165,-86.78389",0.0,0.25,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,
231,231,13,2014,Q973737,male,Cooper,400081.0,Jim,Jim,0.0,4.0,D,400081,D,white,True,"Rep. Jim Cooper [D, 2003-2022]",1954-06-19,Democrat,0.0,True,JimCooperD,True,Cooper,960988.0,True,Jim_Cooper, Jim Cooper ,Jim Cooper,anglicanism,"36.165,-86.78389",0.0,1.0,0.8,0.3333333333333333,0.4,1.0,0.0,0.0
