person,Year,disney_donations,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,disney_donations_lagMinus1,disney_donations_lagPlus1,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,data_use,MODELING_GROUP
4,2012,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,,0,1,0,0,0,0,0,1,1,0,0.727,TESTING
4,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.727,TESTING
4,2016,0.0,0.4,0.42857142857142855,0.2222222222222222,0.0,0.0,1000.0,0.0,0,1,0,0,0,0,0,1,1,0,0.727,TESTING
4,2018,1000.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,1,0,0,0,0,0,1,1,0,0.727,TESTING
10,2012,0.0,0.5,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,2000.0,,0,1,0,1,0,0,0,0,1,0,0.086,TRAINING
10,2014,2000.0,0.6666666666666666,0.8,0.3333333333333333,0.4,0.5,2000.0,0.0,0,1,0,1,0,0,0,0,1,0,0.086,TRAINING
10,2016,2000.0,0.6,0.2857142857142857,0.4444444444444444,0.25,0.3333333333333333,1000.0,2000.0,0,1,0,1,0,0,0,0,1,0,0.086,TRAINING
10,2018,1000.0,1.0,1.0,1.0,1.0,0.6666666666666666,,2000.0,0,1,0,1,0,0,0,0,1,0,0.086,TRAINING
13,2012,0.0,0.25,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,,0,1,0,0,0,0,0,1,1,0,0.539,TRAINING
13,2014,0.0,1.0,0.8,0.3333333333333333,0.4,1.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.539,TRAINING
13,2016,0.0,0.8,0.42857142857142855,0.5555555555555556,0.0,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.539,TRAINING
13,2018,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,,0.0,0,1,0,0,0,0,0,1,1,0,0.539,TRAINING
15,2018,3700.0,0.0,0.0,1.0,1.0,1.0,,0.0,0,1,0,1,0,0,0,0,1,0,0.5191,TRAINING
15,2016,0.0,0.4,0.14285714285714285,0.3333333333333333,0.25,0.3333333333333333,3700.0,0.0,0,1,0,1,0,0,0,0,1,0,0.5191,TRAINING
15,2012,0.0,0.25,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,,0,1,0,1,0,0,0,0,1,0,0.5191,TRAINING
15,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0.5191,TRAINING
16,2012,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,,0,1,0,1,0,0,0,0,1,0,0.5734,TESTING
