person,Year,party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat
4,2012-01-01,D,0.0,0.0,0.0,0.727,TESTING,1
4,2014-01-01,D,0.0,0.3333333333333333,0.0,0.727,TESTING,1
4,2016-01-01,D,0.0,0.4,1000.0,0.727,TESTING,1
4,2018-01-01,D,1000.0,1.0,,0.727,TESTING,1
10,2012-01-01,D,0.0,0.5,2000.0,0.086,TRAINING,1
10,2014-01-01,D,2000.0,0.6666666666666666,2000.0,0.086,TRAINING,1
10,2016-01-01,D,2000.0,0.6,1000.0,0.086,TRAINING,1
10,2018-01-01,D,1000.0,1.0,,0.086,TRAINING,1
12,2012-01-01,D,0.0,0.25,0.0,0.539,TRAINING,1
12,2014-01-01,D,0.0,1.0,0.0,0.539,TRAINING,1
12,2016-01-01,D,0.0,0.8,0.0,0.539,TRAINING,1
12,2018-01-01,D,0.0,1.0,,0.539,TRAINING,1
14,2018-01-01,D,3700.0,0.0,,0.5191,TRAINING,1
14,2016-01-01,D,0.0,0.4,3700.0,0.5191,TRAINING,1
14,2012-01-01,D,0.0,0.25,0.0,0.5191,TRAINING,1
14,2014-01-01,D,0.0,0.3333333333333333,0.0,0.5191,TRAINING,1
15,2012-01-01,D,0.0,0.0,0.0,0.5734,TESTING,1
15,2014-01-01,D,0.0,0.0,0.0,0.5734,TESTING,1
15,2016-01-01,D,0.0,0.2,0.0,0.5734,TESTING,1
15,2018-01-01,D,0.0,1.0,,0.5734,TESTING,1
16,2018-01-01,D,0.0,1.0,,0.6265,TESTING,1
16,2012-01-01,D,0.0,0.5,0.0,0.6265,TESTING,1
16,2014-01-01,D,0.0,0.3333333333333333,0.0,0.6265,TESTING,1
16,2016-01-01,D,0.0,0.8,0.0,0.6265,TESTING,1
17,2018-01-01,D,0.0,1.0,,0.0466,TRAINING,1
17,2016-01-01,D,0.0,0.8,0.0,0.0466,TRAINING,1
17,2012-01-01,D,0.0,0.0,0.0,0.0466,TRAINING,1
17,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0466,TRAINING,1
18,2012-01-01,D,0.0,0.0,1000.0,0.4426,TRAINING,1
18,2014-01-01,D,1000.0,0.3333333333333333,0.0,0.4426,TRAINING,1
18,2016-01-01,D,0.0,0.6,0.0,0.4426,TRAINING,1
18,2018-01-01,D,0.0,1.0,,0.4426,TRAINING,1
19,2012-01-01,D,0.0,0.0,0.0,0.5578,TESTING,1
19,2014-01-01,D,0.0,0.3333333333333333,0.0,0.5578,TESTING,1
19,2016-01-01,D,0.0,0.8,80.0,0.5578,TESTING,1
19,2018-01-01,D,80.0,1.0,,0.5578,TESTING,1
21,2018-01-01,D,0.0,1.0,,0.8322,TESTING,1
21,2016-01-01,D,0.0,0.4,0.0,0.8322,TESTING,1
